Freq[Hz]     dBSPL  Phase[Deg]
5.00000     82.176    41.106
5.07273     82.207    41.071
5.14651     82.252    41.026
5.22137     82.312    40.967
5.29732     82.374    40.904
5.37437     82.438    40.836
5.45254     82.501    40.767
5.53185     82.565    40.698
5.61231     82.628    40.629
5.69394     82.692    40.558
5.77676     82.755    40.487
5.86079     82.818    40.414
5.94604     82.882    40.341
6.03252     82.945    40.267
6.12027     83.009    40.192
6.20929     83.072    40.117
6.29961     83.136    40.040
6.39124     83.199    39.963
6.48420     83.263    39.884
6.57851     83.326    39.805
6.67420     83.390    39.725
6.77128     83.453    39.644
6.86977     83.517    39.562
6.96969     83.580    39.479
7.07107     83.643    39.395
7.17392     83.707    39.311
7.27827     83.770    39.225
7.38413     83.834    39.139
7.49154     83.897    39.052
7.60050     83.961    38.964
7.71105     84.024    38.876
7.82321     84.088    38.787
7.93701     84.151    38.697
8.05245     84.215    38.606
8.16958     84.278    38.515
8.28841     84.342    38.423
8.40896     84.405    38.331
8.53128     84.469    38.239
8.65537     84.532    38.147
8.78126     84.595    38.054
8.90899     84.659    37.962
9.03857     84.722    37.870
9.17004     84.786    37.779
9.30342     84.849    37.688
9.43874     84.913    37.599
9.57603     84.976    37.512
9.71532     85.040    37.427
9.85663     85.103    37.344
10.0000     85.167    37.267
10.1455     85.230    37.194
10.2930     85.294    37.129
10.4427     85.357    37.075
10.5946     85.421    37.038
10.7487     85.484    37.029
10.9051     85.548    37.061
11.0637     85.616    37.131
11.2246     85.703    37.206
11.3879     85.827    37.205
11.5535     85.969    37.073
11.7216     86.107    36.809
11.8921     86.217    36.436
12.0650     86.292    36.016
12.2405     86.345    35.624
12.4186     86.395    35.297
12.5992     86.448    35.032
12.7825     86.502    34.813
12.9684     86.555    34.630
13.1570     86.609    34.481
13.3484     86.662    34.375
13.5426     86.716    34.324
13.7395     86.771    34.342
13.9394     86.838    34.425
14.1421     86.927    34.534
14.3478     87.052    34.598
14.5565     87.216    34.521
14.7683     87.395    34.246
14.9831     87.562    33.776
15.2010     87.687    33.177
15.4221     87.764    32.560
15.6464     87.809    32.025
15.8740     87.847    31.625
16.1049     87.896    31.374
16.3392     87.968    31.243
16.5768     88.069    31.158
16.8179     88.199    31.041
17.0626     88.384    30.770
17.3107     88.609    30.211
17.5625     88.846    29.300
17.8180     89.063    28.037
18.0771     89.193    26.534
18.3401     89.227    24.996
18.6068     89.174    23.612
18.8775     89.058    22.557
19.1521     88.935    21.937
19.4306     88.854    21.706
19.7133     88.842    21.723
20.0000     88.916    21.784
20.2909     89.076    21.640
20.5860     89.296    21.083
20.8855     89.539    20.007
21.1893     89.745    18.437
21.4975     89.845    16.544
21.8102     89.814    14.571
22.1274     89.656    12.764
22.4492     89.407    11.370
22.7758     89.128    10.549
23.1071     88.872    10.314
23.4432     88.685    10.533
23.7841     88.589    10.995
24.1301     88.579    11.493
24.4811     88.631    11.852
24.8372     88.698    12.000
25.1984     88.771    11.949
25.5649     88.828    11.759
25.9368     88.879    11.488
26.3141     88.932    11.138
26.6968     88.992    10.703
27.0851     89.063    10.168
27.4791     89.126     9.517
27.8788     89.169     8.768
28.2843     89.184     7.956
28.6957     89.175     7.137
29.1131     89.146     6.358
29.5365     89.102     5.646
29.9661     89.049     5.013
30.4020     88.994     4.455
30.8442     88.947     3.951
31.2929     88.908     3.465
31.7480     88.867     2.989
32.2098     88.820     2.523
32.6783     88.762     2.078
33.1536     88.689     1.683
33.6359     88.618     1.359
34.1251     88.543     1.116
34.6215     88.472     0.959
35.1250     88.399     0.889
35.6359     88.341     0.895
36.1543     88.300     0.946
36.6802     88.279     1.016
37.2137     88.277     1.068
37.7550     88.287     1.065
38.3041     88.307     0.993
38.8613     88.335     0.837
39.4265     88.366     0.589
40.0000     88.393     0.253
40.5818     88.412    -0.162
41.1721     88.422    -0.647
41.7710     88.424    -1.197
42.3785     88.418    -1.800
42.9949     88.391    -2.433
43.6203     88.334    -3.047
44.2548     88.256    -3.608
44.8985     88.164    -4.096
45.5515     88.060    -4.472
46.2141     87.965    -4.751
46.8863     87.870    -4.971
47.5683     87.763    -5.104
48.2602     87.654    -5.118
48.9621     87.531    -4.988
49.6743     87.404    -4.672
50.3968     87.310    -4.190
51.1299     87.264    -3.628
51.8736     87.272    -3.093
52.6281     87.320    -2.695
53.3936     87.382    -2.492
54.1702     87.436    -2.474
54.9581     87.473    -2.600
55.7575     87.492    -2.819
56.5685     87.495    -3.090
57.3914     87.484    -3.375
58.2261     87.458    -3.644
59.0730     87.419    -3.874
59.9323     87.367    -4.039
60.8040     87.310    -4.124
61.6884     87.260    -4.134
62.5857     87.224    -4.105
63.4960     87.201    -4.073
64.4196     87.190    -4.068
65.3566     87.174    -4.092
66.3073     87.141    -4.111
67.2717     87.105    -4.105
68.2502     87.068    -4.066
69.2429     87.045    -3.997
70.2501     87.038    -3.938
71.2719     87.037    -3.923
72.3086     87.035    -3.961
73.3603     87.026    -4.037
74.4274     87.001    -4.111
75.5099     86.964    -4.148
76.6083     86.927    -4.142
77.7226     86.898    -4.095
78.8531     86.885    -4.031
80.0000     86.883    -3.991
81.1636     86.883    -3.995
82.3442     86.883    -4.055
83.5419     86.882    -4.171
84.7570     86.880    -4.346
85.9899     86.863    -4.557
87.2406     86.826    -4.765
88.5096     86.774    -4.944
89.7970     86.705    -5.060
91.1031     86.645    -5.107
92.4282     86.590    -5.116
93.7726     86.535    -5.091
95.1366     86.483    -5.048
96.5204     86.418    -4.983
97.9243     86.343    -4.858
99.3486     86.267    -4.652
100.794     86.190    -4.356
102.260     86.115    -3.954
103.747     86.052    -3.452
105.256     86.012    -2.888
106.787     85.994    -2.305
108.340     86.001    -1.740
109.916     86.025    -1.234
111.515     86.054    -0.801
113.137     86.083    -0.432
114.783     86.112    -0.111
116.452     86.142     0.179
118.146     86.171     0.448
119.865     86.203     0.697
121.608     86.244     0.916
123.377     86.296     1.075
125.171     86.348     1.165
126.992     86.402     1.174
128.839     86.454     1.083
130.713     86.487     0.921
132.615     86.497     0.747
134.543     86.484     0.604
136.500     86.448     0.542
