Freq[Hz]     dBSPL  Phase[Deg]
5.00000     69.317    76.541
5.07273     69.369    76.529
5.14651     69.446    76.514
5.22137     69.547    76.497
5.29732     69.653    76.485
5.37437     69.761    76.472
5.45254     69.869    76.462
5.53185     69.976    76.452
5.61231     70.084    76.442
5.69394     70.191    76.432
5.77676     70.299    76.423
5.86079     70.407    76.413
5.94604     70.514    76.404
6.03252     70.622    76.395
6.12027     70.729    76.387
6.20929     70.837    76.378
6.29961     70.945    76.370
6.39124     71.052    76.361
6.48420     71.160    76.353
6.57851     71.267    76.345
6.67420     71.375    76.338
6.77128     71.483    76.331
6.86977     71.590    76.324
6.96969     71.698    76.317
7.07107     71.805    76.310
7.17392     71.913    76.304
7.27827     72.021    76.298
7.38413     72.128    76.293
7.49154     72.236    76.288
7.60050     72.343    76.283
7.71105     72.451    76.279
7.82321     72.559    76.276
7.93701     72.666    76.272
8.05245     72.774    76.270
8.16958     72.881    76.268
8.28841     72.989    76.267
8.40896     73.097    76.266
8.53128     73.204    76.266
8.65537     73.312    76.267
8.78126     73.419    76.269
8.90899     73.527    76.272
9.03857     73.635    76.275
9.17004     73.742    76.280
9.30342     73.850    76.285
9.43874     73.957    76.292
9.57603     74.065    76.299
9.71532     74.173    76.307
9.85663     74.280    76.315
10.0000     74.388    76.322
10.1455     74.495    76.328
10.2930     74.602    76.332
10.4427     74.708    76.333
10.5946     74.814    76.327
10.7487     74.917    76.319
10.9051     75.015    76.318
11.0637     75.101    76.354
11.2246     75.177    76.457
11.3879     75.256    76.631
11.5535     75.340    76.877
11.7216     75.446    77.173
11.8921     75.565    77.477
12.0650     75.692    77.775
12.2405     75.824    78.065
12.4186     75.957    78.354
12.5992     76.096    78.645
12.7825     76.250    78.921
12.9684     76.421    79.156
13.1570     76.601    79.336
13.3484     76.778    79.465
13.5426     76.952    79.553
13.7395     77.128    79.605
13.9394     77.313    79.620
14.1421     77.512    79.579
14.3478     77.719    79.451
14.5565     77.926    79.213
14.7683     78.132    78.857
14.9831     78.333    78.380
15.2010     78.517    77.805
15.4221     78.676    77.169
15.6464     78.810    76.505
15.8740     78.924    75.846
16.1049     79.026    75.217
16.3392     79.116    74.631
16.5768     79.190    74.103
16.8179     79.251    73.645
17.0626     79.303    73.264
17.3107     79.352    72.970
17.5625     79.402    72.758
17.8180     79.449    72.628
18.0771     79.491    72.598
18.3401     79.528    72.693
18.6068     79.563    72.941
18.8775     79.615    73.343
19.1521     79.705    73.842
19.4306     79.839    74.361
19.7133     80.015    74.818
20.0000     80.215    75.146
20.2909     80.421    75.323
20.5860     80.629    75.357
20.8855     80.836    75.264
21.1893     81.043    75.048
21.4975     81.249    74.707
21.8102     81.447    74.249
22.1274     81.624    73.706
22.4492     81.768    73.138
22.7758     81.883    72.610
23.1071     81.979    72.169
23.4432     82.073    71.839
23.7841     82.181    71.609
24.1301     82.313    71.420
24.4811     82.457    71.232
24.8372     82.608    71.036
25.1984     82.771    70.804
25.5649     82.935    70.513
25.9368     83.127    70.123
26.3141     83.352    69.540
26.6968     83.575    68.728
27.0851     83.764    67.730
27.4791     83.903    66.605
27.8788     83.979    65.453
28.2843     84.016    64.386
