Freq[Hz]     dBSPL  Phase[Deg]
5.00000     64.191   126.209
5.07273     64.282   126.110
5.14651     64.401   125.982
5.22137     64.559   125.813
5.29732     64.734   125.635
5.37437     64.927   125.438
5.45254     65.120   125.243
5.53185     65.313   125.045
5.61231     65.506   124.844
5.69394     65.698   124.641
5.77676     65.891   124.435
5.86079     66.084   124.226
5.94604     66.277   124.015
6.03252     66.470   123.800
6.12027     66.663   123.582
6.20929     66.856   123.361
6.29961     67.049   123.136
6.39124     67.241   122.908
6.48420     67.434   122.677
6.57851     67.627   122.442
6.67420     67.820   122.204
6.77128     68.013   121.963
6.86977     68.206   121.717
6.96969     68.399   121.468
7.07107     68.592   121.215
7.17392     68.784   120.959
7.27827     68.977   120.698
7.38413     69.170   120.433
7.49154     69.363   120.164
7.60050     69.556   119.891
7.71105     69.749   119.614
7.82321     69.942   119.332
7.93701     70.135   119.046
8.05245     70.327   118.755
8.16958     70.520   118.459
8.28841     70.713   118.158
8.40896     70.906   117.853
8.53128     71.099   117.543
8.65537     71.292   117.227
8.78126     71.485   116.906
8.90899     71.678   116.580
9.03857     71.871   116.248
9.17004     72.063   115.909
9.30342     72.256   115.565
9.43874     72.449   115.215
9.57603     72.642   114.857
9.71532     72.835   114.493
9.85663     73.028   114.120
10.0000     73.221   113.739
10.1455     73.414   113.349
10.2930     73.606   112.947
10.4427     73.799   112.531
10.5946     73.991   112.096
10.7487     74.182   111.640
10.9051     74.368   111.165
11.0637     74.548   110.680
11.2246     74.723   110.200
11.3879     74.891   109.735
11.5535     75.052   109.303
11.7216     75.212   108.912
11.8921     75.363   108.590
12.0650     75.521   108.355
12.2405     75.685   108.196
12.4186     75.865   108.114
12.5992     76.072   108.043
12.7825     76.298   107.913
12.9684     76.537   107.692
13.1570     76.777   107.370
13.3484     77.015   106.965
13.5426     77.247   106.513
13.7395     77.473   106.063
13.9394     77.714   105.590
14.1421     77.951   105.064
14.3478     78.189   104.515
14.5565     78.439   103.891
14.7683     78.674   103.203
14.9831     78.907   102.506
15.2010     79.144   101.778
15.4221     79.374   101.031
15.6464     79.611   100.272
15.8740     79.853    99.461
16.1049     80.093    98.601
16.3392     80.338    97.682
16.5768     80.578    96.689
16.8179     80.811    95.653
17.0626     81.042    94.594
17.3107     81.276    93.498
17.5625     81.512    92.345
17.8180     81.747    91.133
18.0771     81.985    89.839
18.3401     82.218    88.445
18.6068     82.443    86.966
18.8775     82.664    85.400
19.1521     82.873    83.744
19.4306     83.073    82.004
19.7133     83.258    80.174
20.0000     83.422    78.288
20.2909     83.572    76.371
20.5860     83.706    74.424
20.8855     83.828    72.458
21.1893     83.939    70.468
21.4975     84.042    68.427
21.8102     84.128    66.322
22.1274     84.194    64.171
22.4492     84.239    61.990
22.7758     84.264    59.785
23.1071     84.266    57.568
23.4432     84.246    55.343
23.7841     84.203    53.108
24.1301     84.130    50.870
24.4811     84.019    48.672
24.8372     83.870    46.584
25.1984     83.693    44.641
25.5649     83.488    42.859
25.9368     83.263    41.249
26.3141     83.021    39.796
26.6968     82.756    38.509
27.0851     82.462    37.445
27.4791     82.151    36.641
27.8788     81.818    36.140
28.2843     81.481    35.984
28.6957     81.152    36.147
29.1131     80.829    36.619
29.5365     80.517    37.436
29.9661     80.234    38.607
30.4020     79.992    40.088
