Freq[Hz]     dBSPL  Phase[Deg]
5.00000     56.694    65.222
5.07273     56.734    65.240
5.14651     56.787    65.263
5.22137     56.857    65.298
5.29732     56.935    65.341
5.37437     57.021    65.391
5.45254     57.107    65.443
5.53185     57.193    65.497
5.61231     57.279    65.551
5.69394     57.366    65.607
5.77676     57.452    65.664
5.86079     57.538    65.721
5.94604     57.624    65.780
6.03252     57.710    65.840
6.12027     57.796    65.901
6.20929     57.882    65.963
6.29961     57.968    66.026
6.39124     58.054    66.090
6.48420     58.140    66.155
6.57851     58.226    66.221
6.67420     58.312    66.289
6.77128     58.398    66.357
6.86977     58.484    66.427
6.96969     58.571    66.498
7.07107     58.657    66.571
7.17392     58.743    66.644
7.27827     58.829    66.719
7.38413     58.915    66.795
7.49154     59.001    66.873
7.60050     59.087    66.952
7.71105     59.173    67.033
7.82321     59.259    67.115
7.93701     59.345    67.198
8.05245     59.431    67.283
8.16958     59.517    67.369
8.28841     59.603    67.457
8.40896     59.690    67.547
8.53128     59.776    67.639
8.65537     59.862    67.732
8.78126     59.948    67.826
8.90899     60.034    67.923
9.03857     60.120    68.022
9.17004     60.206    68.122
9.30342     60.292    68.225
9.43874     60.378    68.329
9.57603     60.464    68.436
9.71532     60.550    68.544
9.85663     60.636    68.655
10.0000     60.722    68.769
10.1455     60.808    68.884
10.2930     60.895    69.002
10.4427     60.981    69.123
10.5946     61.067    69.246
10.7487     61.153    69.372
10.9051     61.239    69.501
11.0637     61.325    69.633
11.2246     61.411    69.768
11.3879     61.497    69.906
11.5535     61.583    70.048
11.7216     61.669    70.193
11.8921     61.755    70.342
12.0650     61.841    70.495
12.2405     61.927    70.652
12.4186     62.013    70.813
12.5992     62.100    70.979
12.7825     62.186    71.150
12.9684     62.272    71.326
13.1570     62.358    71.508
13.3484     62.444    71.696
13.5426     62.530    71.891
13.7395     62.616    72.093
13.9394     62.702    72.303
14.1421     62.788    72.522
14.3478     62.874    72.751
14.5565     62.960    72.991
14.7683     63.046    73.245
14.9831     63.132    73.514
15.2010     63.218    73.803
15.4221     63.305    74.115
15.6464     63.391    74.460
15.8740     63.477    74.854
16.1049     63.567    75.315
16.3392     63.668    75.857
16.5768     63.793    76.458
16.8179     63.953    77.034
17.0626     64.143    77.489
17.3107     64.356    77.725
17.5625     64.566    77.678
17.8180     64.747    77.393
18.0771     64.889    76.974
18.3401     64.987    76.536
18.6068     65.048    76.185
18.8775     65.086    75.988
19.1521     65.110    75.970
19.4306     65.132    76.139
19.7133     65.161    76.487
20.0000     65.208    76.975
20.2909     65.279    77.549
20.5860     65.374    78.149
20.8855     65.490    78.716
21.1893     65.617    79.224
21.4975     65.750    79.672
21.8102     65.886    80.069
22.1274     66.022    80.429
22.4492     66.158    80.759
22.7758     66.294    81.063
23.1071     66.428    81.344
23.4432     66.558    81.610
23.7841     66.682    81.878
24.1301     66.797    82.182
24.4811     66.905    82.564
24.8372     67.013    83.067
25.1984     67.133    83.718
25.5649     67.286    84.489
25.9368     67.481    85.300
26.3141     67.725    86.051
26.6968     68.019    86.604
27.0851     68.344    86.833
27.4791     68.679    86.667
27.8788     68.996    86.087
28.2843     69.269    85.161
28.6957     69.484    84.009
29.1131     69.635    82.775
29.5365     69.733    81.585
29.9661     69.790    80.501
30.4020     69.814    79.542
30.8442     69.803    78.728
31.2929     69.753    78.125
31.7480     69.673    77.815
32.2098     69.575    77.859
32.6783     69.476    78.302
33.1536     69.399    79.141
33.6359     69.359    80.335
34.1251     69.379    81.821
34.6215     69.478    83.478
35.1250     69.659    85.159
35.6359     69.924    86.717
36.1543     70.266    87.996
36.6802     70.671    88.859
37.2137     71.125    89.169
37.7550     71.594    88.789
38.3041     72.025    87.684
38.8613     72.378    85.938
39.4265     72.624    83.722
40.0000     72.739    81.298
40.5818     72.724    78.959
41.1721     72.579    77.007
41.7710     72.332    75.730
42.3785     72.024    75.319
42.9949     71.698    75.905
43.6203     71.447    77.421
44.2548     71.339    79.521
44.8985     71.385    81.803
45.5515     71.576    83.889
46.2141     71.859    85.495
46.8863     72.179    86.517
47.5683     72.489    86.986
48.2602     72.756    87.044
48.9621     72.967    86.876
49.6743     73.118    86.682
50.3968     73.224    86.643
51.1299     73.308    86.878
51.8736     73.405    87.420
52.6281     73.553    88.168
53.3936     73.760    88.942
54.1702     74.022    89.557
54.9581     74.314    89.859
55.7575     74.598    89.813
56.5685     74.849    89.509
57.3914     75.058    89.085
58.2261     75.229    88.681
59.0730     75.378    88.397
59.9323     75.523    88.266
60.8040     75.686    88.249
61.6884     75.873    88.271
62.5857     76.089    88.232
63.4960     76.326    88.025
64.4196     76.561    87.605
65.3566     76.783    86.974
66.3073     76.974    86.171
67.2717     77.123    85.300
68.2502     77.236    84.462
69.2429     77.316    83.735
70.2501     77.376    83.187
71.2719     77.432    82.847
72.3086     77.506    82.680
73.3603     77.608    82.590
74.4274     77.737    82.474
75.5099     77.887    82.232
76.6083     78.040    81.803
77.7226     78.174    81.194
78.8531     78.280    80.452
80.0000     78.345    79.641
81.1636     78.359    78.864
82.3442     78.322    78.249
83.5419     78.235    77.948
84.7570     78.116    78.130
85.9899     78.014    78.851
87.2406     77.966    80.007
88.5096     77.995    81.434
89.7970     78.114    82.914
91.1031     78.299    84.257
92.4282     78.525    85.394
93.7726     78.776    86.330
95.1366     79.044    87.093
96.5204     79.334    87.679
97.9243     79.636    88.073
99.3486     79.947    88.280
100.794     80.272    88.262
102.260     80.589    88.007
103.747     80.900    87.531
105.256     81.196    86.826
106.787     81.459    85.935
108.340     81.692    84.924
109.916     81.892    83.845
111.515     82.058    82.758
113.137     82.199    81.709
114.783     82.316    80.721
116.452     82.417    79.821
118.146     82.510    79.001
119.865     82.593    78.247
121.608     82.668    77.566
123.377     82.741    76.950
125.171     82.806    76.394
126.992     82.869    75.912
128.839     82.933    75.490
130.713     82.995    75.122
132.615     83.059    74.803
134.543     83.122    74.523
136.500     83.184    74.297
138.486     83.248    74.129
140.500     83.315    74.016
142.544     83.388    73.948
144.617     83.467    73.909
146.721     83.552    73.892
148.855     83.640    73.887
151.020     83.726    73.908
153.217     83.813    73.981
155.445     83.902    74.135
157.706     84.003    74.383
160.000     84.129    74.703
162.327     84.288    75.017
164.688     84.477    75.231
167.084     84.682    75.284
169.514     84.891    75.147
171.980     85.090    74.829
174.481     85.260    74.412
177.019     85.410    73.984
179.594     85.543    73.598
182.206     85.668    73.301
184.856     85.801    73.085
187.545     85.947    72.896
190.273     86.106    72.684
193.041     86.277    72.386
195.849     86.437    71.987
198.697     86.581    71.541
201.587     86.704    71.119
204.520     86.811    70.800
207.494     86.917    70.644
210.512     87.041    70.648
213.574     87.201    70.738
216.681     87.401    70.800
219.833     87.634    70.730
223.030     87.884    70.461
226.274     88.138    69.975
229.565     88.385    69.285
232.905     88.613    68.431
236.292     88.819    67.480
239.729     89.007    66.475
243.216     89.177    65.447
246.754     89.335    64.422
250.343     89.486    63.399
253.984     89.630    62.368
257.678     89.768    61.315
261.426     89.893    60.253
265.229     90.007    59.205
269.087     90.115    58.183
273.001     90.219    57.189
276.972     90.322    56.215
281.000     90.425    55.242
285.088     90.529    54.254
289.234     90.631    53.235
