Freq[Hz]     dBSPL  Phase[Deg]
5.00000     69.025    76.437
5.07273     69.077    76.424
5.14651     69.154    76.407
5.22137     69.255    76.389
5.29732     69.361    76.375
5.37437     69.469    76.361
5.45254     69.577    76.349
5.53185     69.684    76.338
5.61231     69.792    76.326
5.69394     69.899    76.314
5.77676     70.007    76.304
5.86079     70.115    76.292
5.94604     70.222    76.281
6.03252     70.330    76.270
6.12027     70.437    76.260
6.20929     70.545    76.250
6.29961     70.653    76.240
6.39124     70.760    76.229
6.48420     70.868    76.219
6.57851     70.975    76.209
6.67420     71.083    76.200
6.77128     71.191    76.191
6.86977     71.298    76.182
6.96969     71.406    76.173
7.07107     71.513    76.164
7.17392     71.621    76.156
7.27827     71.729    76.148
7.38413     71.836    76.140
7.49154     71.944    76.133
7.60050     72.051    76.126
7.71105     72.159    76.120
7.82321     72.267    76.114
7.93701     72.374    76.108
8.05245     72.482    76.104
8.16958     72.589    76.099
8.28841     72.697    76.096
8.40896     72.805    76.092
8.53128     72.912    76.090
8.65537     73.020    76.088
8.78126     73.127    76.088
8.90899     73.235    76.088
9.03857     73.343    76.088
9.17004     73.450    76.091
9.30342     73.558    76.093
9.43874     73.665    76.097
9.57603     73.773    76.101
9.71532     73.881    76.106
9.85663     73.988    76.112
10.0000     74.096    76.116
10.1455     74.203    76.119
10.2930     74.310    76.120
10.4427     74.416    76.117
10.5946     74.522    76.108
10.7487     74.625    76.097
10.9051     74.723    76.093
11.0637     74.809    76.126
11.2246     74.885    76.225
11.3879     74.964    76.396
11.5535     75.048    76.639
11.7216     75.154    76.931
11.8921     75.273    77.232
12.0650     75.400    77.526
12.2405     75.532    77.813
12.4186     75.665    78.098
12.5992     75.804    78.385
12.7825     75.958    78.657
12.9684     76.129    78.888
13.1570     76.309    79.065
13.3484     76.486    79.190
13.5426     76.660    79.274
13.7395     76.836    79.322
13.9394     77.021    79.333
14.1421     77.220    79.287
14.3478     77.427    79.155
14.5565     77.634    78.913
14.7683     77.840    78.553
14.9831     78.041    78.071
15.2010     78.225    77.492
15.4221     78.384    76.851
15.6464     78.518    76.183
15.8740     78.632    75.519
16.1049     78.734    74.885
16.3392     78.824    74.294
16.5768     78.898    73.761
16.8179     78.959    73.298
17.0626     79.011    72.912
17.3107     79.060    72.613
17.5625     79.110    72.396
17.8180     79.157    72.261
18.0771     79.199    72.226
18.3401     79.236    72.315
18.6068     79.271    72.558
18.8775     79.323    72.954
19.1521     79.413    73.447
19.4306     79.547    73.961
19.7133     79.723    74.412
20.0000     79.923    74.734
20.2909     80.129    74.905
20.5860     80.337    74.933
20.8855     80.544    74.834
21.1893     80.751    74.612
21.4975     80.957    74.264
21.8102     81.155    73.800
22.1274     81.332    73.250
22.4492     81.476    72.676
22.7758     81.591    72.141
23.1071     81.687    71.693
23.4432     81.781    71.356
23.7841     81.889    71.119
24.1301     82.021    70.923
24.4811     82.165    70.728
24.8372     82.317    70.525
25.1984     82.480    70.285
25.5649     82.644    69.987
25.9368     82.836    69.589
26.3141     83.061    68.998
26.6968     83.284    68.178
27.0851     83.473    67.172
27.4791     83.612    66.039
27.8788     83.688    64.879
28.2843     83.725    63.804
28.6957     83.745    62.869
29.1131     83.754    62.084
29.5365     83.757    61.441
29.9661     83.757    60.930
30.4020     83.757    60.545
30.8442     83.757    60.287
31.2929     83.759    60.159
31.7480     83.769    60.156
32.2098     83.800    60.250
32.6783     83.856    60.403
33.1536     83.935    60.580
33.6359     84.028    60.754
34.1251     84.131    60.908
34.6215     84.254    61.018
35.1250     84.387    61.079
35.6359     84.533    61.090
36.1543     84.683    61.038
36.6802     84.833    60.927
37.2137     84.999    60.735
37.7550     85.180    60.427
38.3041     85.374    59.968
38.8613     85.562    59.336
39.4265     85.724    58.553
40.0000     85.856    57.671
40.5818     85.945    56.762
41.1721     85.999    55.909
