Freq[Hz]      Mag   Phase[Deg]
5.00000      0.000     0.000
5.07273      0.000     0.000
5.14651      0.000     0.000
5.22137      0.000     0.000
5.29732      0.000     0.000
5.37437      0.000     0.000
5.45254      0.000     0.000
5.53185      0.000     0.000
5.61231      0.000     0.000
5.69394      0.000     0.000
5.77676      0.000     0.000
5.86079      0.000     0.000
5.94604      0.000     0.000
6.03252      0.000     0.000
6.12027      0.000     0.000
6.20929      0.000     0.000
6.29961      0.000     0.000
6.39124      0.000     0.000
6.48420      0.000     0.000
6.57851      0.000     0.000
6.67420      0.000     0.000
6.77128      0.000     0.000
6.86977      0.000     0.000
6.96969      0.000     0.000
7.07107      0.000     0.000
7.17392      0.000     0.000
7.27827      0.000     0.000
7.38413      0.000     0.000
7.49154      0.000     0.000
7.60050      0.000     0.000
7.71105      0.000     0.000
7.82321      0.000     0.000
7.93701      0.000     0.000
8.05245      0.000     0.000
8.16958      0.000     0.000
8.28841      0.000     0.000
8.40896      0.000     0.000
8.53128      0.000     0.000
8.65537      0.000     0.000
8.78126      0.000     0.000
8.90899      0.000     0.000
9.03857      0.000     0.000
9.17004      0.000     0.000
9.30342      0.000     0.000
9.43874      0.000     0.000
9.57603      0.000     0.000
9.71532      0.000     0.000
9.85663      0.000     0.000
10.0000      0.000     0.000
10.1455      0.000     0.000
10.2930      0.000     0.000
10.4427      0.000     0.000
10.5946      0.000     0.000
10.7487      0.000     0.000
10.9051      0.000     0.000
11.0637      0.000     0.000
11.2246      0.000     0.000
11.3879      0.000     0.000
11.5535      0.000     0.000
11.7216      0.000     0.000
11.8921      0.000     0.000
12.0650      0.000     0.000
12.2405      0.000     0.000
12.4186      0.000     0.000
12.5992      0.000     0.000
12.7825      0.000     0.000
12.9684      0.000     0.000
13.1570      0.000     0.000
13.3484      0.000     0.000
13.5426      0.000     0.000
13.7395      0.000     0.000
13.9394      0.000     0.000
14.1421      0.000     0.000
14.3478      0.000     0.000
14.5565      0.000     0.000
14.7683      0.000     0.000
14.9831      0.000     0.000
15.2010      0.000     0.000
15.4221      0.000     0.000
15.6464      0.000     0.000
15.8740      0.000     0.000
16.1049      0.000     0.000
16.3392      0.000     0.000
16.5768      0.000     0.000
16.8179      0.000     0.000
17.0626      0.000     0.000
17.3107      0.000     0.000
17.5625      0.000     0.000
17.8180      0.000     0.000
18.0771      0.000     0.000
18.3401      0.000     0.000
18.6068      0.000     0.000
18.8775      0.000     0.000
19.1521      0.000     0.000
19.4306      0.000     0.000
19.7133      0.000     0.000
20.0000      0.000     0.000
20.2909      0.000     0.000
20.5860      0.000     0.000
20.8855      0.000     0.000
21.1893      0.000     0.000
21.4975      0.000     0.000
21.8102      0.000     0.000
22.1274      0.000     0.000
22.4492      0.000     0.000
22.7758      0.000     0.000
23.1071      0.000     0.000
23.4432      0.000     0.000
23.7841      0.000     0.000
24.1301      0.000     0.000
24.4811      0.000     0.000
24.8372      0.000     0.000
25.1984      0.000     0.000
25.5649      0.000     0.000
25.9368      0.000     0.000
26.3141      0.000     0.000
26.6968      0.000     0.000
27.0851      0.000     0.000
27.4791      0.000     0.000
27.8788      0.000     0.000
28.2843      0.000     0.000
28.6957      0.000     0.000
29.1131      0.000     0.000
29.5365      0.000     0.000
29.9661      0.000     0.000
30.4020      0.000     0.000
30.8442      0.000     0.000
31.2929      0.000     0.000
31.7480      0.000     0.000
32.2098      0.000     0.000
32.6783      0.000     0.000
33.1536      0.000     0.000
33.6359      0.000     0.000
34.1251      0.000     0.000
34.6215      0.000     0.000
35.1250      0.000     0.000
35.6359      0.000     0.000
36.1543      0.000     0.000
36.6802      0.000     0.000
37.2137      0.000     0.000
37.7550      0.000     0.000
38.3041      0.000     0.000
