Freq[Hz]      Mag   Phase[Deg]
5.00000     68.787     0.000
5.07273     68.839     0.000
5.14651     68.916     0.000
5.22137     69.017     0.000
5.29732     69.123     0.000
5.37437     69.231     0.000
5.45254     69.339     0.000
5.53185     69.446     0.000
5.61231     69.554     0.000
5.69394     69.661     0.000
5.77676     69.769     0.000
5.86079     69.877     0.000
5.94604     69.984     0.000
6.03252     70.092     0.000
6.12027     70.199     0.000
6.20929     70.307     0.000
6.29961     70.415     0.000
6.39124     70.522     0.000
6.48420     70.630     0.000
6.57851     70.737     0.000
6.67420     70.845     0.000
6.77128     70.953     0.000
6.86977     71.060     0.000
6.96969     71.168     0.000
7.07107     71.275     0.000
7.17392     71.383     0.000
7.27827     71.491     0.000
7.38413     71.598     0.000
7.49154     71.706     0.000
7.60050     71.813     0.000
7.71105     71.921     0.000
7.82321     72.029     0.000
7.93701     72.136     0.000
8.05245     72.244     0.000
8.16958     72.351     0.000
8.28841     72.459     0.000
8.40896     72.567     0.000
8.53128     72.674     0.000
8.65537     72.782     0.000
8.78126     72.889     0.000
8.90899     72.997     0.000
9.03857     73.105     0.000
9.17004     73.212     0.000
9.30342     73.320     0.000
9.43874     73.427     0.000
9.57603     73.535     0.000
9.71532     73.643     0.000
9.85663     73.750     0.000
10.0000     73.858     0.000
10.1455     73.965     0.000
10.2930     74.072     0.000
10.4427     74.178     0.000
10.5946     74.284     0.000
10.7487     74.387     0.000
10.9051     74.485     0.000
11.0637     74.571     0.000
11.2246     74.647     0.000
11.3879     74.726     0.000
11.5535     74.810     0.000
11.7216     74.916     0.000
11.8921     75.035     0.000
12.0650     75.162     0.000
12.2405     75.294     0.000
12.4186     75.427     0.000
12.5992     75.566     0.000
12.7825     75.720     0.000
12.9684     75.891     0.000
13.1570     76.071     0.000
13.3484     76.248     0.000
13.5426     76.422     0.000
13.7395     76.598     0.000
13.9394     76.783     0.000
14.1421     76.982     0.000
14.3478     77.189     0.000
14.5565     77.396     0.000
14.7683     77.602     0.000
14.9831     77.803     0.000
15.2010     77.987     0.000
15.4221     78.146     0.000
15.6464     78.280     0.000
15.8740     78.394     0.000
16.1049     78.496     0.000
16.3392     78.586     0.000
16.5768     78.660     0.000
16.8179     78.721     0.000
17.0626     78.773     0.000
17.3107     78.822     0.000
17.5625     78.872     0.000
17.8180     78.919     0.000
18.0771     78.961     0.000
18.3401     78.998     0.000
18.6068     79.033     0.000
18.8775     79.085     0.000
19.1521     79.175     0.000
19.4306     79.309     0.000
19.7133     79.485     0.000
20.0000     79.685     0.000
20.2909     79.891     0.000
20.5860     80.099     0.000
20.8855     80.306     0.000
21.1893     80.513     0.000
21.4975     80.719     0.000
21.8102     80.917     0.000
22.1274     81.094     0.000
22.4492     81.238     0.000
22.7758     81.353     0.000
23.1071     81.449     0.000
23.4432     81.543     0.000
23.7841     81.651     0.000
24.1301     81.783     0.000
24.4811     81.927     0.000
