Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      4.251     0.018
5.07273      4.251     0.018
5.14651      4.251     0.019
5.22137      4.251     0.019
5.29732      4.251     0.019
5.37437      4.251     0.019
5.45254      4.251     0.020
5.53185      4.251     0.020
5.61231      4.251     0.020
5.69394      4.251     0.020
5.77676      4.251     0.021
5.86079      4.251     0.021
5.94604      4.251     0.021
6.03252      4.251     0.022
6.12027      4.251     0.022
6.20929      4.251     0.022
6.29961      4.251     0.023
6.39124      4.251     0.023
6.48420      4.251     0.023
6.57851      4.251     0.024
6.67420      4.251     0.024
6.77128      4.251     0.024
6.86977      4.251     0.025
6.96969      4.251     0.025
7.07107      4.251     0.025
7.17392      4.251     0.026
7.27827      4.251     0.026
7.38413      4.251     0.027
7.49154      4.251     0.027
7.60050      4.251     0.027
7.71105      4.251     0.028
7.82321      4.251     0.028
7.93701      4.251     0.029
8.05245      4.251     0.029
8.16958      4.251     0.029
8.28841      4.251     0.030
8.40896      4.251     0.030
8.53128      4.251     0.031
8.65537      4.251     0.031
8.78126      4.251     0.032
8.90899      4.251     0.032
9.03857      4.251     0.033
9.17004      4.251     0.033
9.30342      4.251     0.033
9.43874      4.251     0.034
9.57603      4.251     0.034
9.71532      4.251     0.035
9.85663      4.251     0.035
10.0000      4.251     0.036
10.1455      4.251     0.037
10.2930      4.251     0.037
10.4427      4.251     0.038
10.5946      4.251     0.038
10.7487      4.251     0.039
10.9051      4.251     0.039
11.0637      4.251     0.040
11.2246      4.251     0.040
11.3879      4.251     0.041
11.5535      4.251     0.042
11.7216      4.251     0.042
11.8921      4.251     0.043
12.0650      4.251     0.043
12.2405      4.251     0.044
12.4186      4.251     0.045
12.5992      4.251     0.045
12.7825      4.251     0.046
12.9684      4.251     0.047
13.1570      4.251     0.047
13.3484      4.251     0.048
13.5426      4.251     0.049
13.7395      4.251     0.049
13.9394      4.251     0.050
14.1421      4.251     0.051
14.3478      4.251     0.052
14.5565      4.251     0.052
14.7683      4.251     0.053
14.9831      4.251     0.054
15.2010      4.251     0.055
15.4221      4.251     0.056
15.6464      4.251     0.056
15.8740      4.251     0.057
16.1049      4.251     0.058
16.3392      4.251     0.059
16.5768      4.251     0.060
16.8179      4.251     0.061
17.0626      4.250     0.061
17.3107      4.250     0.062
17.5625      4.250     0.063
17.8180      4.250     0.064
18.0771      4.250     0.065
18.3401      4.250     0.066
18.6068      4.250     0.067
18.8775      4.250     0.068
19.1521      4.250     0.069
19.4306      4.250     0.070
19.7133      4.250     0.071
20.0000      4.250     0.072
20.2909      4.250     0.073
20.5860      4.250     0.074
20.8855      4.250     0.075
21.1893      4.250     0.076
21.4975      4.250     0.077
21.8102      4.250     0.079
22.1274      4.250     0.080
22.4492      4.250     0.081
22.7758      4.250     0.082
23.1071      4.250     0.083
23.4432      4.250     0.085
23.7841      4.250     0.086
24.1301      4.250     0.087
24.4811      4.250     0.088
24.8372      4.250     0.090
25.1984      4.250     0.091
25.5649      4.250     0.092
25.9368      4.250     0.094
26.3141      4.250     0.095
26.6968      4.250     0.096
27.0851      4.250     0.098
27.4791      4.250     0.099
27.8788      4.250     0.101
28.2843      4.250     0.102
28.6957      4.250     0.104
29.1131      4.250     0.105
29.5365      4.250     0.107
29.9661      4.250     0.108
30.4020      4.250     0.110
30.8442      4.250     0.111
31.2929      4.250     0.113
31.7480      4.250     0.115
32.2098      4.250     0.116
32.6783      4.250     0.118
33.1536      4.250     0.120
33.6359      4.250     0.122
34.1251      4.250     0.123
34.6215      4.250     0.125
35.1250      4.250     0.127
35.6359      4.249     0.129
36.1543      4.249     0.131
36.6802      4.249     0.133
37.2137      4.249     0.135
37.7550      4.249     0.137
38.3041      4.249     0.139
38.8613      4.249     0.141
39.4265      4.249     0.143
40.0000      4.249     0.145
40.5818      4.249     0.147
41.1721      4.249     0.149
41.7710      4.249     0.151
42.3785      4.249     0.154
42.9949      4.249     0.156
43.6203      4.249     0.158
44.2548      4.249     0.160
44.8985      4.249     0.163
45.5515      4.249     0.165
46.2141      4.249     0.168
46.8863      4.249     0.170
47.5683      4.248     0.173
48.2602      4.248     0.175
48.9621      4.248     0.178
49.6743      4.248     0.180
50.3968      4.248     0.183
51.1299      4.248     0.186
51.8736      4.248     0.189
52.6281      4.248     0.191
53.3936      4.248     0.194
54.1702      4.248     0.197
54.9581      4.248     0.200
55.7575      4.248     0.203
56.5685      4.247     0.206
57.3914      4.247     0.209
58.2261      4.247     0.212
59.0730      4.247     0.215
59.9323      4.247     0.219
60.8040      4.247     0.222
61.6884      4.247     0.225
62.5857      4.247     0.229
63.4960      4.247     0.232
64.4196      4.247     0.236
65.3566      4.246     0.239
66.3073      4.246     0.243
67.2717      4.246     0.246
68.2502      4.246     0.250
69.2429      4.246     0.254
70.2501      4.246     0.258
71.2719      4.246     0.262
72.3086      4.245     0.266
73.3603      4.245     0.270
74.4274      4.245     0.274
75.5099      4.245     0.278
76.6083      4.245     0.282
77.7226      4.245     0.286
78.8531      4.244     0.291
80.0000      4.244     0.295
81.1636      4.244     0.300
82.3442      4.244     0.304
83.5419      4.244     0.309
84.7570      4.243     0.314
85.9899      4.243     0.318
87.2406      4.243     0.323
88.5096      4.243     0.328
89.7970      4.242     0.333
91.1031      4.242     0.339
92.4282      4.242     0.344
93.7726      4.242     0.349
95.1366      4.241     0.355
96.5204      4.241     0.360
97.9243      4.241     0.366
99.3486      4.241     0.371
100.794      4.240     0.377
102.260      4.240     0.383
103.747      4.240     0.389
105.256      4.239     0.395
106.787      4.239     0.402
108.340      4.239     0.408
109.916      4.238     0.414
111.515      4.238     0.421
113.137      4.238     0.428
114.783      4.237     0.435
116.452      4.237     0.442
118.146      4.236     0.449
119.865      4.236     0.456
121.608      4.236     0.463
123.377      4.235     0.471
125.171      4.235     0.478
126.992      4.234     0.486
128.839      4.234     0.494
130.713      4.233     0.502
132.615      4.233     0.511
134.543      4.232     0.519
136.500      4.232     0.528
138.486      4.231     0.536
140.500      4.231     0.545
142.544      4.230     0.554
144.617      4.229     0.564
146.721      4.229     0.573
148.855      4.228     0.583
151.020      4.227     0.593
153.217      4.227     0.603
155.445      4.226     0.613
157.706      4.225     0.624
160.000      4.225     0.634
162.327      4.224     0.645
164.688      4.223     0.657
167.084      4.222     0.668
169.514      4.221     0.680
171.980      4.221     0.692
174.481      4.220     0.704
177.019      4.219     0.717
179.594      4.218     0.729
182.206      4.217     0.742
184.856      4.216     0.756
187.545      4.215     0.769
190.273      4.214     0.784
193.041      4.213     0.798
195.849      4.212     0.813
198.697      4.211     0.828
201.587      4.210     0.843
204.520      4.208     0.859
207.494      4.207     0.875
210.512      4.206     0.891
213.574      4.205     0.908
216.681      4.203     0.926
219.833      4.202     0.944
223.030      4.201     0.962
226.274      4.199     0.981
229.565      4.198     1.000
232.905      4.196     1.019
236.292      4.195     1.040
239.729      4.193     1.060
243.216      4.192     1.082
246.754      4.190     1.104
250.343      4.188     1.126
253.984      4.186     1.149
257.678      4.185     1.173
261.426      4.183     1.197
265.229      4.181     1.222
269.087      4.179     1.248
273.001      4.177     1.275
276.972      4.175     1.302
281.000      4.173     1.330
285.088      4.171     1.359
289.234      4.168     1.388
293.441      4.166     1.419
297.709      4.164     1.450
302.040      4.161     1.482
306.433      4.159     1.516
310.890      4.156     1.550
315.412      4.154     1.585
320.000      4.151     1.622
324.655      4.149     1.659
329.377      4.146     1.698
334.168      4.143     1.738
339.028      4.140     1.779
343.959      4.137     1.821
348.962      4.134     1.865
354.038      4.131     1.910
359.188      4.128     1.957
364.412      4.124     2.005
369.713      4.121     2.055
375.090      4.118     2.106
380.546      4.114     2.159
386.081      4.110     2.213
391.697      4.107     2.270
397.394      4.103     2.328
403.175      4.099     2.388
409.039      4.095     2.451
414.989      4.091     2.515
421.025      4.087     2.582
427.149      4.083     2.650
433.362      4.079     2.722
439.665      4.074     2.795
446.060      4.070     2.871
452.548      4.066     2.950
459.131      4.061     3.031
465.809      4.056     3.115
472.584      4.052     3.202
479.458      4.047     3.293
486.432      4.042     3.386
493.507      4.037     3.482
500.686      4.032     3.582
507.968      4.027     3.686
515.357      4.021     3.793
522.853      4.016     3.903
530.458      4.011     4.018
538.174      4.005     4.137
546.002      4.000     4.260
553.943      3.994     4.387
562.001      3.989     4.518
570.175      3.983     4.655
578.469      3.977     4.796
586.883      3.971     4.942
595.419      3.966     5.093
604.080      3.960     5.249
612.866      3.954     5.411
621.780      3.948     5.579
630.824      3.942     5.752
640.000      3.936     5.932
649.309      3.930     6.117
658.753      3.924     6.309
668.335      3.918     6.508
678.056      3.913     6.713
687.919      3.907     6.926
697.925      3.901     7.145
708.077      3.895     7.372
718.376      3.890     7.607
728.825      3.884     7.849
739.426      3.879     8.100
750.181      3.874     8.358
761.093      3.869     8.625
772.163      3.864     8.900
783.394      3.859     9.184
794.789      3.855     9.477
806.349      3.851     9.779
818.078      3.847    10.091
829.977      3.843    10.411
842.050      3.840    10.742
854.298      3.837    11.082
866.724      3.834    11.431
879.330      3.832    11.791
892.120      3.830    12.161
905.097      3.829    12.540
918.262      3.828    12.930
931.618      3.827    13.330
945.169      3.828    13.740
958.917      3.829    14.160
972.864      3.830    14.590
987.015      3.832    15.030
1001.37      3.835    15.480
1015.94      3.839    15.939
1030.71      3.844    16.408
1045.71      3.849    16.887
1060.92      3.856    17.374
1076.35      3.863    17.870
1092.00      3.871    18.375
1107.89      3.881    18.887
1124.00      3.891    19.407
1140.35      3.903    19.934
1156.94      3.916    20.467
1173.77      3.931    21.007
1190.84      3.946    21.551
1208.16      3.964    22.101
1225.73      3.982    22.654
1243.56      4.002    23.210
1261.65      4.024    23.769
1280.00      4.048    24.329
1298.62      4.073    24.889
1317.51      4.100    25.449
1336.67      4.128    26.008
1356.11      4.159    26.564
1375.84      4.192    27.117
1395.85      4.226    27.665
1416.15      4.263    28.207
1436.75      4.302    28.743
1457.65      4.343    29.270
1478.85      4.386    29.789
1500.36      4.431    30.297
1522.19      4.479    30.793
1544.33      4.529    31.277
1566.79      4.582    31.747
1589.58      4.637    32.201
1612.70      4.694    32.640
1636.16      4.754    33.061
1659.95      4.817    33.463
1684.10      4.882    33.846
1708.60      4.950    34.208
1733.45      5.020    34.548
1758.66      5.094    34.866
1784.24      5.169    35.160
1810.19      5.248    35.430
1836.52      5.329    35.674
1863.24      5.412    35.891
1890.34      5.498    36.082
1917.83      5.587    36.245
1945.73      5.679    36.379
1974.03      5.772    36.485
2002.74      5.869    36.561
2031.87      5.968    36.607
2061.43      6.069    36.622
2091.41      6.172    36.607
2121.83      6.278    36.560
2152.69      6.385    36.482
2184.01      6.495    36.373
2215.77      6.606    36.231
2248.00      6.719    36.059
2280.70      6.834    35.854
2313.87      6.950    35.618
2347.53      7.068    35.351
2381.68      7.187    35.052
2416.32      7.306    34.723
2451.46      7.426    34.363
2487.12      7.547    33.974
2523.30      7.669    33.555
2560.00      7.790    33.107
2597.24      7.912    32.630
2635.01      8.033    32.127
2673.34      8.153    31.596
2712.23      8.273    31.039
2751.68      8.392    30.458
2791.70      8.509    29.852
2832.31      8.626    29.224
2873.50      8.740    28.573
2915.30      8.853    27.901
2957.70      8.963    27.209
3000.72      9.071    26.498
3044.37      9.177    25.770
3088.65      9.280    25.025
3133.58      9.380    24.265
3179.16      9.477    23.491
3225.40      9.570    22.704
3272.31      9.660    21.905
3319.91      9.747    21.095
3368.20      9.830    20.276
3417.19      9.910    19.449
3466.89      9.985    18.614
3517.32     10.057    17.773
3568.48     10.125    16.927
3620.39     10.189    16.077
3673.05     10.248    15.224
