* This data was exported from the Dayton Audio Test System: DATS
*
D    	120	[mm]
Re   	1.086	[Ohms]
Fs   	55.04	[Hz]
Zm   	13.12	[Ohms]
BL   	3.707	[N/A]
Qms  	6.171
Qes  	0.5573
Qts  	0.5112
Vas  	7.368 	[liters]
L10k 	0.09219	[mH]
n0   	0.2102	[%]
dBSPL  	85.33	[1W/1m]
Ms   	20.39	[grams]
Cms  	0.41	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	1.104    	1.747    
1.059    	1.104    	1.747    
1.091    	1.104    	1.747    
1.122    	1.104    	1.747    
1.155    	1.104    	1.747    
1.189    	1.104    	1.747    
1.224    	1.104    	1.747    
1.260    	1.104    	1.747    
1.297    	1.104    	1.747    
1.335    	1.100    	1.823    
1.374    	1.100    	1.823    
1.414    	1.100    	1.823    
1.456    	1.100    	1.823    
1.498    	1.100    	1.823    
1.542    	1.100    	1.823    
1.587    	1.100    	1.823    
1.634    	1.100    	1.823    
1.682    	1.097    	1.999    
1.731    	1.097    	1.999    
1.782    	1.097    	1.999    
1.834    	1.097    	1.999    
1.888    	1.097    	1.999    
1.943    	1.097    	1.999    
2.000    	1.097    	2.023    
2.059    	1.097    	2.023    
2.119    	1.097    	2.023    
2.181    	1.097    	2.023    
2.245    	1.097    	2.023    
2.311    	1.097    	2.023    
2.378    	1.096    	2.365    
2.448    	1.096    	2.365    
2.520    	1.096    	2.365    
2.594    	1.096    	2.365    
2.670    	1.095    	2.940    
2.748    	1.095    	2.940    
2.828    	1.095    	2.940    
2.911    	1.095    	2.940    
2.997    	1.092    	4.064    
3.084    	1.092    	4.064    
3.175    	1.092    	4.064    
3.268    	1.092    	4.064    
3.364    	1.093    	5.064    
3.462    	1.093    	5.064    
3.564    	1.093    	5.064    
3.668    	1.095    	6.025    
3.775    	1.095    	6.025    
3.886    	1.095    	6.025    
4.000    	1.100    	6.963    
4.117    	1.100    	6.963    
4.238    	1.100    	6.963    
4.362    	1.101    	7.779    
4.490    	1.101    	7.779    
4.621    	1.101    	7.779    
4.757    	1.097    	8.614    
4.896    	1.097    	8.614    
5.040    	1.088    	9.381    
5.187    	1.088    	9.381    
5.339    	1.084    	10.115    
5.496    	1.084    	10.115    
5.657    	1.087    	10.815    
5.823    	1.087    	10.815    
5.993    	1.095    	11.404    
6.169    	1.095    	11.404    
6.350    	1.102    	11.961    
6.536    	1.102    	11.961    
6.727    	1.107    	12.505    
6.924    	1.107    	12.505    
7.127    	1.116    	13.062    
7.336    	1.127    	13.606    
7.551    	1.127    	13.606    
7.772    	1.138    	14.019    
8.000    	1.146    	14.384    
8.234    	1.146    	14.384    
8.476    	1.148    	14.849    
8.724    	1.146    	15.433    
8.980    	1.144    	16.083    
9.243    	1.144    	16.083    
9.514    	1.147    	16.687    
9.792    	1.154    	17.268    
10.079    	1.161    	17.949    
10.375    	1.165    	18.693    
10.679    	1.170    	19.362    
10.992    	1.179    	19.908    
11.314    	1.193    	20.416    
11.645    	1.203    	20.983    
11.986    	1.211    	21.532    
12.338    	1.221    	21.956    
12.699    	1.233    	22.333    
13.071    	1.237    	22.761    
13.454    	1.229    	23.203    
13.849    	1.222    	23.612    
14.254    	1.230    	24.054    
14.672    	1.259    	24.895    
15.102    	1.287    	25.734    
15.545    	1.309    	26.321    
16.000    	1.336    	27.306    
16.469    	1.354    	28.138    
16.951    	1.376    	28.968    
17.448    	1.387    	29.827    
17.959    	1.391    	30.261    
18.486    	1.412    	30.791    
19.027    	1.436    	31.737    
19.585    	1.470    	32.919    
20.159    	1.498    	34.044    
20.749    	1.510    	35.214    
21.357    	1.524    	36.213    
21.983    	1.555    	37.079    
22.627    	1.598    	37.871    
23.290    	1.637    	38.567    
23.973    	1.677    	39.271    
24.675    	1.737    	40.005    
25.398    	1.767    	40.812    
26.143    	1.788    	41.695    
26.909    	1.836    	42.833    
27.697    	1.906    	44.090    
28.509    	1.962    	44.926    
29.344    	2.033    	45.947    
30.204    	2.143    	47.034    
31.089    	2.236    	47.978    
32.000    	2.321    	48.711    
32.938    	2.430    	49.475    
33.903    	2.526    	50.416    
34.896    	2.647    	51.377    
35.919    	2.790    	52.487    
36.971    	2.942    	53.950    
38.055    	3.126    	55.483    
39.170    	3.397    	56.735    
40.317    	3.728    	57.391    
41.499    	4.120    	57.617    
42.715    	4.578    	57.544    
43.967    	5.138    	56.350    
45.255    	5.867    	53.616    
46.581    	6.732    	50.220    
47.946    	7.694    	45.600    
49.351    	8.772    	40.342    
50.797    	10.137    	31.605    
52.285    	11.562    	20.852    
53.817    	12.758    	6.541    
55.394    	12.962    	-12.062    
57.018    	11.848    	-27.969    
58.688    	9.978    	-39.448    
60.408    	8.139    	-47.066    
62.178    	6.771    	-51.240    
64.000    	5.863    	-53.405    
65.875    	5.141    	-54.659    
67.806    	4.554    	-55.321    
69.792    	4.088    	-55.877    
71.838    	3.729    	-55.745    
73.943    	3.442    	-55.085    
76.109    	3.160    	-54.367    
78.339    	2.905    	-53.859    
80.635    	2.709    	-53.111    
82.998    	2.546    	-52.237    
85.430    	2.400    	-50.800    
87.933    	2.255    	-49.505    
90.510    	2.150    	-48.311    
93.162    	2.054    	-46.974    
95.892    	1.955    	-45.501    
98.701    	1.872    	-43.935    
101.594    	1.802    	-42.213    
104.571    	1.727    	-40.540    
107.635    	1.662    	-39.225    
110.789    	1.610    	-37.665    
114.035    	1.564    	-36.092    
117.377    	1.527    	-34.438    
120.816    	1.489    	-32.520    
124.356    	1.441    	-30.873    
128.000    	1.406    	-29.514    
131.751    	1.372    	-28.103    
135.611    	1.346    	-26.839    
139.585    	1.332    	-25.039    
143.675    	1.298    	-23.097    
147.885    	1.281    	-21.928    
152.219    	1.264    	-20.585    
156.679    	1.255    	-19.072    
161.270    	1.231    	-17.152    
165.995    	1.221    	-16.296    
170.860    	1.216    	-14.207    
175.866    	1.203    	-13.132    
181.019    	1.206    	-11.557    
186.324    	1.201    	-10.106    
191.783    	1.205    	-8.765    
197.403    	1.209    	-7.828    
203.187    	1.215    	-6.487    
209.141    	1.227    	-5.932    
215.269    	1.230    	-5.068    
221.577    	1.217    	-4.564    
228.070    	1.214    	-3.601    
234.753    	1.206    	-2.704    
241.632    	1.207    	-1.628    
248.712    	1.203    	-0.492    
256.000    	1.207    	0.859    
263.501    	1.208    	1.800    
271.223    	1.211    	2.808    
279.170    	1.216    	3.639    
287.350    	1.218    	4.675    
295.770    	1.225    	5.754    
304.437    	1.229    	6.755    
313.358    	1.235    	7.748    
322.540    	1.245    	8.821    
331.991    	1.256    	9.830    
341.719    	1.269    	10.703    
351.732    	1.277    	11.555    
362.039    	1.285    	12.467    
372.647    	1.298    	13.484    
383.567    	1.314    	14.378    
394.806    	1.327    	15.135    
406.375    	1.337    	16.074    
418.282    	1.354    	16.938    
430.539    	1.370    	17.728    
443.155    	1.390    	18.514    
456.140    	1.404    	19.252    
469.506    	1.422    	20.021    
483.264    	1.441    	20.862    
497.424    	1.458    	21.569    
512.000    	1.477    	22.345    
527.003    	1.499    	23.095    
542.445    	1.521    	23.852    
558.340    	1.547    	24.453    
574.701    	1.575    	24.916    
591.541    	1.591    	25.261    
608.874    	1.601    	25.891    
626.715    	1.622    	26.652    
645.080    	1.646    	27.360    
663.982    	1.674    	28.018    
683.438    	1.700    	28.653    
703.464    	1.726    	29.250    
724.077    	1.753    	29.787    
745.294    	1.781    	30.331    
767.133    	1.810    	30.905    
789.612    	1.838    	31.419    
812.749    	1.868    	31.987    
836.565    	1.899    	32.454    
861.078    	1.931    	32.884    
886.309    	1.964    	33.292    
912.280    	1.994    	33.710    
939.012    	2.028    	34.070    
966.527    	2.063    	34.377    
994.849    	2.091    	34.789    
1024.000    	2.119    	35.160    
1054.005    	2.149    	35.521    
1084.890    	2.180    	35.967    
1116.680    	2.211    	36.382    
1149.401    	2.247    	36.872    
1183.081    	2.283    	37.353    
1217.748    	2.323    	37.738    
1253.431    	2.361    	38.216    
1290.159    	2.404    	38.616    
1327.964    	2.451    	38.956    
1366.876    	2.492    	39.236    
1406.929    	2.535    	39.598    
1448.155    	2.575    	39.886    
1490.589    	2.618    	40.229    
1534.266    	2.668    	40.558    
1579.224    	2.715    	40.804    
1625.499    	2.762    	40.971    
1673.129    	2.806    	41.234    
1722.156    	2.854    	41.491    
1772.619    	2.906    	41.686    
1824.561    	2.953    	41.847    
1878.024    	2.999    	42.130    
1933.055    	3.050    	42.406    
1989.697    	3.100    	42.680    
