Freq[Hz]     dBSPL  Phase[Deg]
5.00000     89.357   -26.215
5.07273     89.336   -26.181
5.14651     89.306   -26.136
5.22137     89.266   -26.077
5.29732     89.224   -26.012
5.37437     89.181   -25.941
5.45254     89.139   -25.869
5.53185     89.096   -25.796
5.61231     89.053   -25.722
5.69394     89.011   -25.647
5.77676     88.968   -25.570
5.86079     88.926   -25.492
5.94604     88.883   -25.413
6.03252     88.840   -25.333
6.12027     88.798   -25.252
6.20929     88.755   -25.169
6.29961     88.712   -25.084
6.39124     88.670   -24.998
6.48420     88.627   -24.911
6.57851     88.584   -24.822
6.67420     88.542   -24.732
6.77128     88.499   -24.640
6.86977     88.456   -24.546
6.96969     88.414   -24.451
7.07107     88.371   -24.354
7.17392     88.329   -24.255
7.27827     88.286   -24.154
7.38413     88.243   -24.052
7.49154     88.201   -23.947
7.60050     88.158   -23.841
7.71105     88.115   -23.732
7.82321     88.073   -23.622
7.93701     88.030   -23.509
8.05245     87.987   -23.394
8.16958     87.945   -23.276
8.28841     87.902   -23.157
8.40896     87.859   -23.035
8.53128     87.817   -22.910
8.65537     87.774   -22.783
8.78126     87.732   -22.652
8.90899     87.689   -22.520
9.03857     87.646   -22.384
9.17004     87.604   -22.245
9.30342     87.561   -22.103
9.43874     87.518   -21.958
9.57603     87.476   -21.809
9.71532     87.433   -21.657
9.85663     87.390   -21.501
10.0000     87.348   -21.341
10.1455     87.305   -21.177
10.2930     87.263   -21.009
10.4427     87.220   -20.837
10.5946     87.177   -20.659
10.7487     87.135   -20.477
10.9051     87.092   -20.289
11.0637     87.049   -20.096
11.2246     87.007   -19.897
11.3879     86.964   -19.692
11.5535     86.921   -19.480
11.7216     86.879   -19.260
11.8921     86.836   -19.033
12.0650     86.793   -18.797
12.2405     86.751   -18.552
12.4186     86.708   -18.297
12.5992     86.666   -18.030
12.7825     86.623   -17.751
12.9684     86.580   -17.458
13.1570     86.538   -17.149
13.3484     86.495   -16.821
13.5426     86.452   -16.471
13.7395     86.410   -16.094
13.9394     86.367   -15.684
14.1421     86.324   -15.229
14.3478     86.282   -14.709
14.5565     86.240   -14.093
14.7683     86.202   -13.360
14.9831     86.189   -12.530
15.2010     86.234   -11.706
15.4221     86.341   -11.035
15.6464     86.495   -10.652
15.8740     86.665   -10.655
16.1049     86.809   -11.063
16.3392     86.887   -11.755
16.5768     86.880   -12.549
16.8179     86.774   -13.238
17.0626     86.569   -13.578
17.3107     86.331   -13.404
17.5625     86.102   -12.666
17.8180     85.957   -11.443
18.0771     85.935   -10.007
18.3401     85.998    -8.617
18.6068     86.156    -7.503
18.8775     86.377    -6.891
