Freq[Hz]     dBSPL  Phase[Deg]
5.00000     70.479    78.912
5.07273     70.534    78.883
5.14651     70.616    78.847
5.22137     70.723    78.801
5.29732     70.835    78.756
5.37437     70.949    78.708
5.45254     71.063    78.660
5.53185     71.177    78.613
5.61231     71.291    78.565
5.69394     71.405    78.517
5.77676     71.519    78.468
5.86079     71.633    78.419
5.94604     71.747    78.369
6.03252     71.861    78.318
6.12027     71.975    78.267
6.20929     72.089    78.215
6.29961     72.203    78.163
6.39124     72.317    78.109
6.48420     72.431    78.055
6.57851     72.545    78.001
6.67420     72.658    77.945
6.77128     72.772    77.889
6.86977     72.886    77.832
6.96969     73.000    77.775
7.07107     73.114    77.716
7.17392     73.228    77.657
7.27827     73.342    77.596
7.38413     73.456    77.535
7.49154     73.570    77.474
7.60050     73.684    77.411
7.71105     73.798    77.348
7.82321     73.912    77.283
7.93701     74.026    77.218
8.05245     74.140    77.152
8.16958     74.254    77.084
8.28841     74.368    77.016
8.40896     74.481    76.947
8.53128     74.595    76.877
8.65537     74.709    76.806
8.78126     74.823    76.734
8.90899     74.937    76.660
9.03857     75.051    76.586
9.17004     75.165    76.511
9.30342     75.279    76.434
9.43874     75.393    76.357
9.57603     75.507    76.278
9.71532     75.621    76.198
9.85663     75.735    76.118
10.0000     75.849    76.035
10.1455     75.963    75.952
10.2930     76.077    75.867
10.4427     76.191    75.782
10.5946     76.305    75.694
10.7487     76.418    75.606
10.9051     76.532    75.516
11.0637     76.646    75.425
11.2246     76.760    75.333
11.3879     76.874    75.239
11.5535     76.988    75.144
11.7216     77.102    75.048
11.8921     77.216    74.950
12.0650     77.330    74.850
12.2405     77.444    74.749
12.4186     77.558    74.647
12.5992     77.672    74.542
12.7825     77.786    74.437
12.9684     77.900    74.330
13.1570     78.014    74.221
13.3484     78.128    74.110
13.5426     78.241    73.998
13.7395     78.355    73.884
13.9394     78.469    73.769
14.1421     78.583    73.652
14.3478     78.697    73.532
14.5565     78.811    73.412
14.7683     78.925    73.289
14.9831     79.039    73.164
15.2010     79.153    73.037
15.4221     79.267    72.908
15.6464     79.381    72.778
15.8740     79.495    72.645
16.1049     79.609    72.510
16.3392     79.723    72.374
16.5768     79.837    72.235
16.8179     79.951    72.094
17.0626     80.065    71.951
17.3107     80.178    71.805
17.5625     80.292    71.658
17.8180     80.406    71.508
18.0771     80.520    71.356
18.3401     80.634    71.202
18.6068     80.748    71.046
18.8775     80.862    70.888
19.1521     80.976    70.727
19.4306     81.090    70.564
19.7133     81.204    70.400
20.0000     81.318    70.234
20.2909     81.432    70.067
20.5860     81.546    69.899
20.8855     81.660    69.732
21.1893     81.774    69.568
21.4975     81.888    69.408
21.8102     82.004    69.250
22.1274     82.124    69.087
22.4492     82.248    68.912
22.7758     82.375    68.718
23.1071     82.504    68.497
23.4432     82.634    68.241
23.7841     82.763    67.941
24.1301     82.891    67.598
24.4811     83.015    67.221
24.8372     83.114    66.858
25.1984     83.188    66.571
25.5649     83.272    66.353
25.9368     83.365    66.180
26.3141     83.487    66.030
26.6968     83.630    65.831
27.0851     83.766    65.544
27.4791     83.895    65.187
27.8788     84.016    64.785
28.2843     84.120    64.380
28.6957     84.211    64.004
29.1131     84.303    63.654
29.5365     84.399    63.325
29.9661     84.505    63.009
30.4020     84.606    62.700
30.8442     84.696    62.409
31.2929     84.788    62.137
31.7480     84.887    61.880
32.2098     85.003    61.615
32.6783     85.130    61.306
33.1536     85.256    60.935
33.6359     85.369    60.513
34.1251     85.475    60.059
34.6215     85.586    59.564
35.1250     85.681    59.049
35.6359     85.763    58.560
36.1543     85.833    58.104
36.6802     85.888    57.703
37.2137     85.943    57.396
37.7550     86.018    57.151
38.3041     86.107    56.909
38.8613     86.212    56.636
39.4265     86.330    56.303
40.0000     86.434    55.919
40.5818     86.511    55.537
41.1721     86.591    55.167
41.7710     86.680    54.791
42.3785     86.778    54.416
42.9949     86.882    54.022
43.6203     86.981    53.569
44.2548     87.067    53.071
44.8985     87.148    52.566
45.5515     87.222    52.066
46.2141     87.285    51.579
46.8863     87.333    51.141
47.5683     87.374    50.790
48.2602     87.414    50.531
48.9621     87.475    50.320
49.6743     87.570    50.079
50.3968     87.682    49.772
51.1299     87.789    49.393
51.8736     87.867    48.968
52.6281     87.921    48.558
53.3936     87.971    48.209
54.1702     88.038    47.919
54.9581     88.137    47.620
55.7575     88.236    47.269
56.5685     88.338    46.865
57.3914     88.430    46.408
58.2261     88.502    45.932
59.0730     88.581    45.452
59.9323     88.665    44.948
60.8040     88.748    44.420
61.6884     88.832    43.853
62.5857     88.904    43.242
63.4960     88.954    42.641
64.4196     88.993    42.077
65.3566     89.023    41.557
66.3073     89.071    41.051
67.2717     89.131    40.529
68.2502     89.173    40.020
69.2429     89.203    39.537
70.2501     89.204    39.095
71.2719     89.211    38.740
72.3086     89.244    38.449
73.3603     89.284    38.192
74.4274     89.329    37.939
75.5099     89.380    37.651
76.6083     89.441    37.321
77.7226     89.499    36.970
78.8531     89.544    36.621
80.0000     89.583    36.271
81.1636     89.611    35.942
82.3442     89.660    35.643
83.5419     89.718    35.335
84.7570     89.765    35.023
85.9899     89.810    34.719
87.2406     89.855    34.410
88.5096     89.903    34.114
89.7970     89.965    33.807
91.1031     90.031    33.457
92.4282     90.091    33.076
93.7726     90.147    32.676
95.1366     90.181    32.295
96.5204     90.213    31.960
97.9243     90.259    31.643
99.3486     90.315    31.338
100.794     90.378    31.040
102.260     90.445    30.699
103.747     90.523    30.271
105.256     90.623    29.720
106.787     90.707    29.076
108.340     90.750    28.405
109.916     90.764    27.732
111.515     90.746    27.120
113.137     90.742    26.632
114.783     90.756    26.225
116.452     90.765    25.859
118.146     90.777    25.522
119.865     90.806    25.177
121.608     90.844    24.807
123.377     90.882    24.412
125.171     90.911    23.998
126.992     90.923    23.589
128.839     90.934    23.207
130.713     90.961    22.833
132.615     90.999    22.433
134.543     91.037    21.998
136.500     91.067    21.524
138.486     91.080    21.029
140.500     91.082    20.549
142.544     91.083    20.101
144.617     91.083    19.683
146.721     91.083    19.292
148.855     91.083    18.920
151.020     91.083    18.563
153.217     91.083    18.218
155.445     91.083    17.885
157.706     91.083    17.562
160.000     91.083    17.248
162.327     91.083    16.942
164.688     91.083    16.645
167.084     91.083    16.355
169.514     91.083    16.072
171.980     91.083    15.795
174.481     91.083    15.525
177.019     91.083    15.261
179.594     91.083    15.003
182.206     91.083    14.751
184.856     91.083    14.505
187.545     91.083    14.264
190.273     91.083    14.029
193.041     91.083    13.800
195.849     91.083    13.579
198.697     91.083    13.367
201.587     91.083    13.169
204.520     91.084    12.978
207.494     91.089    12.784
210.512     91.109    12.559
213.574     91.131    12.285
216.681     91.135    11.998
219.833     91.131    11.714
223.030     91.110    11.449
226.274     91.090    11.238
229.565     91.084    11.067
232.905     91.083    10.907
236.292     91.083    10.746
239.729     91.083    10.579
243.216     91.083    10.409
246.754     91.083    10.239
250.343     91.083    10.070
253.984     91.083     9.901
257.678     91.083     9.735
261.426     91.083     9.571
265.229     91.083     9.408
269.087     91.083     9.247
273.001     91.083     9.088
276.972     91.083     8.932
281.000     91.083     8.777
285.088     91.083     8.624
289.234     91.083     8.472
293.441     91.083     8.323
297.709     91.083     8.175
302.040     91.083     8.030
306.433     91.083     7.885
310.890     91.083     7.743
315.412     91.083     7.602
320.000     91.083     7.462
324.655     91.083     7.324
329.377     91.083     7.188
334.168     91.083     7.052
339.028     91.083     6.918
343.959     91.083     6.785
348.962     91.083     6.653
354.038     91.083     6.521
359.188     91.083     6.391
364.412     91.083     6.261
369.713     91.083     6.131
375.090     91.083     6.001
380.546     91.083     5.871
386.081     91.083     5.739
391.697     91.083     5.606
397.394     91.083     5.471
403.175     91.083     5.331
409.039     91.083     5.184
414.989     91.083     5.024
421.025     91.082     4.845
427.149     91.080     4.649
433.362     91.068     4.452
439.665     91.038     4.293
446.060     91.000     4.196
