Freq[Hz]     dBSPL  Phase[Deg]
5.00000     31.629  -136.728
5.07273     31.789  -136.880
5.14651     31.998  -137.077
5.22137     32.275  -137.334
5.29732     32.581  -137.604
5.37437     32.918  -137.901
5.45254     33.255  -138.195
5.53185     33.591  -138.493
5.61231     33.928  -138.795
5.69394     34.265  -139.100
5.77676     34.601  -139.410
5.86079     34.938  -139.724
5.94604     35.275  -140.042
6.03252     35.611  -140.365
6.12027     35.948  -140.692
6.20929     36.285  -141.024
6.29961     36.621  -141.361
6.39124     36.958  -141.703
6.48420     37.295  -142.050
6.57851     37.631  -142.402
6.67420     37.968  -142.759
6.77128     38.305  -143.121
6.86977     38.641  -143.489
6.96969     38.978  -143.862
7.07107     39.315  -144.241
7.17392     39.651  -144.626
7.27827     39.988  -145.016
7.38413     40.324  -145.413
7.49154     40.661  -145.815
7.60050     40.998  -146.223
7.71105     41.334  -146.638
7.82321     41.671  -147.059
7.93701     42.008  -147.486
8.05245     42.344  -147.921
8.16958     42.681  -148.362
8.28841     43.018  -148.810
8.40896     43.354  -149.265
8.53128     43.691  -149.727
8.65537     44.028  -150.197
8.78126     44.364  -150.674
8.90899     44.701  -151.158
9.03857     45.038  -151.650
9.17004     45.374  -152.151
9.30342     45.711  -152.659
9.43874     46.048  -153.175
9.57603     46.384  -153.700
9.71532     46.721  -154.233
9.85663     47.058  -154.774
10.0000     47.394  -155.325
10.1455     47.731  -155.885
10.2930     48.068  -156.454
10.4427     48.404  -157.032
10.5946     48.741  -157.620
10.7487     49.077  -158.218
10.9051     49.414  -158.826
11.0637     49.751  -159.444
11.2246     50.087  -160.072
11.3879     50.424  -160.711
11.5535     50.761  -161.361
11.7216     51.097  -162.022
11.8921     51.434  -162.695
12.0650     51.771  -163.379
12.2405     52.107  -164.074
12.4186     52.444  -164.782
12.5992     52.781  -165.502
12.7825     53.117  -166.234
12.9684     53.454  -166.979
13.1570     53.791  -167.737
13.3484     54.127  -168.508
13.5426     54.464  -169.292
13.7395     54.801  -170.089
13.9394     55.137  -170.899
14.1421     55.474  -171.723
14.3478     55.811  -172.561
14.5565     56.147  -173.412
14.7683     56.484  -174.275
14.9831     56.821  -175.151
15.2010     57.157  -176.038
15.4221     57.494  -176.935
15.6464     57.831  -177.840
15.8740     58.167  -178.749
16.1049     58.504  -179.658
16.3392     58.840   179.441
16.5768     59.177   178.563
16.8179     59.514   177.740
17.0626     59.862   177.001
17.3107     60.233   176.363
17.5625     60.656   175.766
17.8180     61.139   175.052
18.0771     61.668   174.075
18.3401     62.231   172.704
18.6068     62.799   170.839
18.8775     63.340   168.486
19.1521     63.835   165.732
19.4306     64.276   162.687
19.7133     64.668   159.421
20.0000     65.000   155.998
20.2909     65.273   152.506
20.5860     65.493   148.990
20.8855     65.654   145.514
21.1893     65.766   142.132
21.4975     65.834   138.868
21.8102     65.856   135.745
22.1274     65.831   132.804
22.4492     65.754   130.128
22.7758     65.628   127.846
23.1071     65.473   126.084
23.4432     65.326   124.898
23.7841     65.236   124.193
24.1301     65.229   123.743
24.4811     65.307   123.302
24.8372     65.447   122.659
25.1984     65.618   121.693
25.5649     65.778   120.416
25.9368     65.915   118.922
26.3141     66.023   117.284
26.6968     66.096   115.565
27.0851     66.130   113.828
27.4791     66.122   112.141
27.8788     66.062   110.618
28.2843     65.959   109.401
28.6957     65.833   108.593
29.1131     65.711   108.241
29.5365     65.627   108.294
29.9661     65.600   108.624
30.4020     65.632   109.111
30.8442     65.728   109.650
31.2929     65.877   110.172
31.7480     66.092   110.602
32.2098     66.376   110.785
32.6783     66.702   110.591
33.1536     67.055   109.909
33.6359     67.394   108.662
34.1251     67.669   106.968
34.6215     67.880   105.020
35.1250     68.021   102.969
35.6359     68.099   100.961
36.1543     68.132    99.074
