* This data was exported from the Dayton Audio Test System: DATS
*
D    	81	[mm]
Re   	5.707	[Ohms]
Fs   	113.9	[Hz]
Zm   	82.61	[Ohms]
BL   	4.837	[N/A]
Qms  	12.39
Qes  	0.9197
Qts  	0.8561
Vas  	1.382 	[liters]
L10k 	0.04046	[mH]
n0   	0.2119	[%]
dBSPL  	85.36	[1W/1m]
Ms   	5.267	[grams]
Cms  	0.371	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	5.713    	0.964    
1.059    	5.713    	0.964    
1.091    	5.713    	0.964    
1.122    	5.713    	0.964    
1.155    	5.713    	0.964    
1.189    	5.713    	0.964    
1.224    	5.713    	0.964    
1.260    	5.713    	0.964    
1.297    	5.713    	0.964    
1.335    	5.708    	0.989    
1.374    	5.708    	0.989    
1.414    	5.708    	0.989    
1.456    	5.708    	0.989    
1.498    	5.708    	0.989    
1.542    	5.708    	0.989    
1.587    	5.708    	0.989    
1.634    	5.708    	0.989    
1.682    	5.709    	1.047    
1.731    	5.709    	1.047    
1.782    	5.709    	1.047    
1.834    	5.709    	1.047    
1.888    	5.709    	1.047    
1.943    	5.709    	1.047    
2.000    	5.710    	1.176    
2.059    	5.710    	1.176    
2.119    	5.710    	1.176    
2.181    	5.710    	1.176    
2.245    	5.710    	1.176    
2.311    	5.710    	1.176    
2.378    	5.706    	1.332    
2.448    	5.706    	1.332    
2.520    	5.706    	1.332    
2.594    	5.706    	1.332    
2.670    	5.703    	1.506    
2.748    	5.703    	1.506    
2.828    	5.703    	1.506    
2.911    	5.703    	1.506    
2.997    	5.710    	1.696    
3.084    	5.710    	1.696    
3.175    	5.710    	1.696    
3.268    	5.710    	1.696    
3.364    	5.720    	1.928    
3.462    	5.720    	1.928    
3.564    	5.720    	1.928    
3.668    	5.717    	2.186    
3.775    	5.717    	2.186    
3.886    	5.717    	2.186    
4.000    	5.717    	2.430    
4.117    	5.717    	2.430    
4.238    	5.717    	2.430    
4.362    	5.714    	2.649    
4.490    	5.714    	2.649    
4.621    	5.714    	2.649    
4.757    	5.717    	2.855    
4.896    	5.717    	2.855    
5.040    	5.716    	3.052    
5.187    	5.716    	3.052    
5.339    	5.714    	3.235    
5.496    	5.714    	3.235    
5.657    	5.713    	3.404    
5.823    	5.713    	3.404    
5.993    	5.712    	3.570    
6.169    	5.712    	3.570    
6.350    	5.719    	3.737    
6.536    	5.719    	3.737    
6.727    	5.729    	3.908    
6.924    	5.729    	3.908    
7.127    	5.738    	4.090    
7.336    	5.744    	4.284    
7.551    	5.744    	4.284    
7.772    	5.744    	4.478    
8.000    	5.740    	4.671    
8.234    	5.740    	4.671    
8.476    	5.740    	4.865    
8.724    	5.740    	5.064    
8.980    	5.739    	5.269    
9.243    	5.739    	5.269    
9.514    	5.738    	5.467    
9.792    	5.742    	5.656    
10.079    	5.750    	5.846    
10.375    	5.756    	6.039    
10.679    	5.757    	6.225    
10.992    	5.756    	6.399    
11.314    	5.761    	6.567    
11.645    	5.769    	6.747    
11.986    	5.775    	6.940    
12.338    	5.777    	7.136    
12.699    	5.777    	7.331    
13.071    	5.778    	7.524    
13.454    	5.778    	7.718    
13.849    	5.781    	7.911    
14.254    	5.789    	8.098    
14.672    	5.800    	8.363    
15.102    	5.808    	8.622    
15.545    	5.815    	8.804    
16.000    	5.819    	9.094    
16.469    	5.822    	9.388    
16.951    	5.832    	9.698    
17.448    	5.837    	10.012    
17.959    	5.844    	10.310    
18.486    	5.854    	10.604    
19.027    	5.864    	10.885    
19.585    	5.876    	11.247    
20.159    	5.885    	11.524    
20.749    	5.894    	11.806    
21.357    	5.903    	12.194    
21.983    	5.913    	12.583    
22.627    	5.923    	12.985    
23.290    	5.936    	13.384    
23.973    	5.950    	13.768    
24.675    	5.960    	14.155    
25.398    	5.977    	14.528    
26.143    	5.997    	14.903    
26.909    	6.009    	15.383    
27.697    	6.026    	15.878    
28.509    	6.040    	16.269    
29.344    	6.054    	16.773    
30.204    	6.089    	17.366    
31.089    	6.113    	17.848    
32.000    	6.138    	18.342    
32.938    	6.162    	18.901    
33.903    	6.189    	19.532    
34.896    	6.223    	20.189    
35.919    	6.263    	20.838    
36.971    	6.298    	21.458    
38.055    	6.329    	22.063    
39.170    	6.366    	22.781    
40.317    	6.405    	23.516    
41.499    	6.453    	24.235    
42.715    	6.503    	24.889    
43.967    	6.558    	25.660    
45.255    	6.620    	26.518    
46.581    	6.683    	27.416    
47.946    	6.755    	28.343    
49.351    	6.844    	29.317    
50.797    	6.937    	30.296    
52.285    	7.024    	31.250    
53.817    	7.118    	32.306    
55.394    	7.234    	33.542    
57.018    	7.349    	34.560    
58.688    	7.479    	35.556    
60.408    	7.647    	36.774    
62.178    	7.820    	38.124    
64.000    	8.003    	39.431    
65.875    	8.224    	40.895    
67.806    	8.483    	42.367    
69.792    	8.763    	43.798    
71.838    	9.074    	45.258    
73.943    	9.420    	46.792    
76.109    	9.865    	48.498    
78.339    	10.430    	50.368    
80.635    	11.083    	52.140    
82.998    	11.804    	53.798    
85.430    	12.627    	55.423    
87.933    	13.718    	57.285    
90.510    	15.135    	59.244    
93.162    	17.013    	60.979    
95.892    	19.939    	62.140    
98.701    	23.801    	62.042    
101.594    	29.167    	60.340    
104.571    	37.458    	56.150    
107.635    	50.198    	47.907    
110.789    	69.564    	29.786    
114.035    	81.240    	-2.386    
117.377    	67.030    	-33.445    
120.816    	46.202    	-49.968    
124.356    	33.877    	-55.821    
128.000    	26.969    	-57.845    
131.751    	22.256    	-58.767    
135.611    	18.977    	-58.643    
139.585    	16.641    	-57.720    
143.675    	14.801    	-56.457    
147.885    	13.413    	-55.106    
152.219    	12.326    	-53.786    
156.679    	11.360    	-52.083    
161.270    	10.571    	-50.116    
165.995    	9.972    	-48.234    
170.860    	9.498    	-46.405    
175.866    	9.090    	-44.495    
181.019    	8.723    	-42.790    
186.324    	8.446    	-41.156    
191.783    	8.171    	-39.168    
197.403    	7.897    	-37.824    
203.187    	7.723    	-36.051    
209.141    	7.445    	-34.077    
215.269    	7.302    	-33.294    
221.577    	7.212    	-30.620    
228.070    	6.927    	-29.654    
234.753    	7.012    	-28.757    
241.632    	6.833    	-26.021    
248.712    	6.752    	-26.015    
256.000    	6.726    	-23.870    
263.501    	6.606    	-23.394    
271.223    	6.589    	-21.794    
279.170    	6.489    	-20.898    
287.350    	6.464    	-19.656    
295.770    	6.416    	-18.610    
304.437    	6.386    	-17.615    
313.358    	6.362    	-16.577    
322.540    	6.334    	-15.704    
331.991    	6.313    	-14.773    
341.719    	6.287    	-13.914    
351.732    	6.267    	-13.059    
362.039    	6.248    	-12.195    
372.647    	6.236    	-11.370    
383.567    	6.228    	-10.575    
394.806    	6.220    	-9.818    
406.375    	6.217    	-9.046    
418.282    	6.214    	-8.310    
430.539    	6.214    	-7.636    
443.155    	6.214    	-6.928    
456.140    	6.215    	-6.263    
469.506    	6.217    	-5.581    
483.264    	6.224    	-4.898    
497.424    	6.232    	-4.302    
512.000    	6.239    	-3.678    
527.003    	6.252    	-3.061    
542.445    	6.265    	-2.476    
558.340    	6.277    	-1.911    
574.701    	6.293    	-1.347    
591.541    	6.307    	-0.794    
608.874    	6.322    	-0.284    
626.715    	6.341    	0.231    
645.080    	6.360    	0.728    
663.982    	6.383    	1.248    
683.438    	6.403    	1.726    
703.464    	6.428    	2.177    
724.077    	6.451    	2.645    
745.294    	6.472    	3.113    
767.133    	6.501    	3.582    
789.612    	6.525    	3.988    
812.749    	6.553    	4.416    
836.565    	6.581    	4.815    
861.078    	6.610    	5.229    
886.309    	6.638    	5.639    
912.280    	6.668    	6.046    
939.012    	6.701    	6.419    
966.527    	6.732    	6.812    
994.849    	6.768    	7.244    
1024.000    	6.800    	7.599    
1054.005    	6.841    	7.990    
1084.890    	6.881    	8.378    
1116.680    	6.922    	8.745    
1149.401    	6.972    	9.198    
1183.081    	7.044    	9.647    
1217.748    	7.148    	9.670    
1253.431    	7.152    	9.438    
1290.159    	7.155    	9.848    
1327.964    	7.199    	10.285    
1366.876    	7.252    	10.674    
1406.929    	7.317    	11.042    
1448.155    	7.379    	11.312    
1490.589    	7.448    	11.549    
1534.266    	7.513    	11.808    
1579.224    	7.590    	12.192    
1625.499    	7.707    	12.569    
1673.129    	7.868    	12.636    
1722.156    	8.044    	12.229    
1772.619    	8.181    	11.174    
1824.561    	8.210    	9.732    
1878.024    	8.097    	8.796    
1933.055    	7.978    	8.791    
1989.697    	7.955    	8.919    
2048.000    	7.884    	8.968    
2108.011    	7.845    	9.429    
2169.780    	7.846    	9.881    
2233.360    	7.867    	10.261    
2298.802    	7.884    	10.567    
2366.162    	7.920    	10.851    
2435.496    	7.937    	11.068    
2506.862    	7.957    	11.373    
2580.318    	7.996    	11.665    
2655.927    	8.033    	11.928    
2733.752    	8.072    	12.176    
2813.857    	8.116    	12.444    
2896.309    	8.164    	12.692    
2981.178    	8.237    	12.932    
3068.533    	8.303    	12.694    
3158.448    	8.300    	12.775    
3250.997    	8.330    	12.990    
3346.259    	8.363    	13.154    
3444.312    	8.399    	13.363    
3545.238    	8.441    	13.529    
3649.121    	8.482    	13.730    
3756.049    	8.528    	13.901    
3866.109    	8.574    	14.040    
3979.395    	8.612    	14.207    
4096.000    	8.655    	14.371    
4216.022    	8.703    	14.546    
4339.561    	8.751    	14.717    
4466.720    	8.799    	14.935    
4597.605    	8.856    	15.103    
4732.325    	8.913    	15.311    
4870.992    	8.979    	15.483    
5013.723    	9.055    	15.641    
5160.637    	9.146    	15.711    
5311.855    	9.253    	15.618    
5467.504    	9.317    	15.150    
5627.714    	9.306    	14.853    
5792.619    	9.281    	14.846    
5962.355    	9.263    	15.064    
6137.066    	9.272    	15.403    
6316.896    	9.302    	15.799    
6501.995    	9.353    	16.225    
6692.518    	9.421    	16.650    
6888.623    	9.508    	17.045    
7090.476    	9.621    	17.331    
7298.242    	9.728    	17.557    
7512.097    	9.888    	17.837    
7732.218    	10.143    	17.705    
7958.790    	10.318    	16.105    
8192.000    	10.154    	14.993    
8432.044    	10.028    	15.276    
8679.122    	10.029    	15.881    
8933.439    	10.138    	16.023    
9195.209    	10.144    	16.144    
9464.649    	10.297    	16.601    
9741.985    	10.521    	15.714    
10027.447    	10.416    	14.271    
10321.273    	10.205    	14.414    
10623.710    	10.178    	15.231    
10935.008    	10.289    	15.713    
11255.428    	10.452    	15.136    
11585.238    	10.364    	13.839    
11924.711    	10.099    	13.844    
12274.132    	9.961    	14.701    
12633.791    	9.917    	15.580    
13003.989    	9.917    	16.379    
13385.035    	9.940    	17.075    
13777.247    	9.985    	17.674    
14180.951    	10.025    	18.190    
14596.485    	10.085    	18.649    
15024.194    	10.122    	18.977    
15464.437    	10.153    	19.405    
15917.579    	10.186    	19.877    
16384.000    	10.238    	20.275    
16864.088    	10.269    	20.623    
17358.243    	10.296    	21.077    
17866.879    	10.328    	21.574    
18390.418    	10.371    	22.111    
18929.299    	10.420    	22.604    
19483.969    	10.471    	23.072    
20054.893    	10.514    	23.570    
