* This data was exported from the Dayton Audio Test System: DATS
*
D    	113	[mm]
Re   	3.793	[Ohms]
Fs   	56.96	[Hz]
Zm   	24.26	[Ohms]
BL   	6.506	[N/A]
Qms  	2.492
Qes  	0.4618
Qts  	0.3896
Vas  	7.66 	[liters]
L10k 	0.185	[mH]
n0   	0.2923	[%]
dBSPL  	86.76	[1W/1m]
Ms   	14.4	[grams]
Cms  	0.542	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	3.801    	4.012    
1.059    	3.801    	4.012    
1.091    	3.801    	4.012    
1.122    	3.801    	4.012    
1.155    	3.801    	4.012    
1.189    	3.801    	4.012    
1.224    	3.801    	4.012    
1.260    	3.801    	4.012    
1.297    	3.801    	4.012    
1.335    	3.799    	4.265    
1.374    	3.799    	4.265    
1.414    	3.799    	4.265    
1.456    	3.799    	4.265    
1.498    	3.799    	4.265    
1.542    	3.799    	4.265    
1.587    	3.799    	4.265    
1.634    	3.799    	4.265    
1.682    	3.801    	4.537    
1.731    	3.801    	4.537    
1.782    	3.801    	4.537    
1.834    	3.801    	4.537    
1.888    	3.801    	4.537    
1.943    	3.801    	4.537    
2.000    	3.804    	4.967    
2.059    	3.804    	4.967    
2.119    	3.804    	4.967    
2.181    	3.804    	4.967    
2.245    	3.804    	4.967    
2.311    	3.804    	4.967    
2.378    	3.804    	5.536    
2.448    	3.804    	5.536    
2.520    	3.804    	5.536    
2.594    	3.804    	5.536    
2.670    	3.798    	6.220    
2.748    	3.798    	6.220    
2.828    	3.798    	6.220    
2.911    	3.798    	6.220    
2.997    	3.796    	6.931    
3.084    	3.796    	6.931    
3.175    	3.796    	6.931    
3.268    	3.796    	6.931    
3.364    	3.814    	7.683    
3.462    	3.814    	7.683    
3.564    	3.814    	7.683    
3.668    	3.840    	8.462    
3.775    	3.840    	8.462    
3.886    	3.840    	8.462    
4.000    	3.870    	9.229    
4.117    	3.870    	9.229    
4.238    	3.870    	9.229    
4.362    	3.890    	9.946    
4.490    	3.890    	9.946    
4.621    	3.890    	9.946    
4.757    	3.908    	10.611    
4.896    	3.908    	10.611    
5.040    	3.923    	11.239    
5.187    	3.923    	11.239    
5.339    	3.940    	11.837    
5.496    	3.940    	11.837    
5.657    	3.960    	12.428    
5.823    	3.960    	12.428    
5.993    	3.982    	13.041    
6.169    	3.982    	13.041    
6.350    	4.006    	13.684    
6.536    	4.006    	13.684    
6.727    	4.027    	14.342    
6.924    	4.027    	14.342    
7.127    	4.050    	15.003    
7.336    	4.085    	15.671    
7.551    	4.085    	15.671    
7.772    	4.123    	16.328    
8.000    	4.155    	16.949    
8.234    	4.155    	16.949    
8.476    	4.191    	17.531    
8.724    	4.235    	18.095    
8.980    	4.270    	18.656    
9.243    	4.270    	18.656    
9.514    	4.291    	19.222    
9.792    	4.316    	19.796    
10.079    	4.344    	20.389    
10.375    	4.365    	21.001    
10.679    	4.387    	21.618    
10.992    	4.416    	22.222    
11.314    	4.444    	22.813    
11.645    	4.469    	23.403    
11.986    	4.502    	23.988    
12.338    	4.541    	24.555    
12.699    	4.577    	25.105    
13.071    	4.617    	25.640    
13.454    	4.659    	26.162    
13.849    	4.692    	26.670    
14.254    	4.722    	27.148    
14.672    	4.782    	27.797    
15.102    	4.845    	28.423    
15.545    	4.885    	28.824    
16.000    	4.951    	29.402    
16.469    	5.020    	29.984    
16.951    	5.088    	30.564    
17.448    	5.161    	31.128    
17.959    	5.234    	31.687    
18.486    	5.314    	32.248    
19.027    	5.404    	32.795    
19.585    	5.532    	33.525    
20.159    	5.624    	34.067    
20.749    	5.715    	34.604    
21.357    	5.829    	35.337    
21.983    	5.945    	36.073    
22.627    	6.065    	36.786    
23.290    	6.194    	37.455    
23.973    	6.328    	38.052    
24.675    	6.470    	38.637    
25.398    	6.614    	39.197    
26.143    	6.784    	39.723    
26.909    	6.991    	40.356    
27.697    	7.196    	40.987    
28.509    	7.380    	41.510    
29.344    	7.595    	42.091    
30.204    	7.853    	42.588    
31.089    	8.088    	42.857    
32.000    	8.364    	43.034    
32.938    	8.699    	43.189    
33.903    	9.103    	43.339    
34.896    	9.528    	43.464    
35.919    	9.981    	43.532    
36.971    	10.471    	43.573    
38.055    	10.980    	43.594    
39.170    	11.599    	43.477    
40.317    	12.252    	43.118    
41.499    	12.963    	42.526    
42.715    	13.713    	41.678    
43.967    	14.555    	40.136    
45.255    	15.624    	38.068    
46.581    	16.804    	35.580    
47.946    	18.021    	32.614    
49.351    	19.236    	29.099    
50.797    	20.608    	24.530    
52.285    	21.931    	19.597    
53.817    	23.091    	14.277    
55.394    	23.961    	8.129    
57.018    	24.243    	2.368    
58.688    	24.059    	-3.688    
60.408    	23.463    	-11.242    
62.178    	22.656    	-18.420    
64.000    	21.828    	-24.022    
65.875    	20.766    	-28.729    
67.806    	19.443    	-32.775    
69.792    	18.128    	-36.109    
71.838    	16.864    	-38.676    
73.943    	15.656    	-40.754    
76.109    	14.509    	-42.907    
78.339    	13.540    	-45.028    
80.635    	12.828    	-46.662    
82.998    	12.235    	-47.078    
85.430    	11.535    	-46.691    
87.933    	10.726    	-46.704    
90.510    	10.073    	-47.303    
93.162    	9.588    	-47.793    
95.892    	9.180    	-48.026    
98.701    	8.902    	-47.311    
101.594    	8.525    	-45.659    
104.571    	7.996    	-44.495    
107.635    	7.604    	-45.044    
110.789    	7.394    	-45.404    
114.035    	7.231    	-44.384    
117.377    	6.997    	-42.605    
120.816    	6.616    	-40.879    
124.356    	6.276    	-40.915    
128.000    	6.193    	-40.873    
131.751    	6.077    	-39.166    
135.611    	5.864    	-37.398    
139.585    	5.639    	-36.473    
143.675    	5.504    	-36.061    
147.885    	5.442    	-34.546    
152.219    	5.271    	-33.026    
156.679    	5.160    	-32.094    
161.270    	5.058    	-31.013    
165.995    	4.989    	-29.620    
170.860    	4.865    	-28.581    
175.866    	4.815    	-27.529    
181.019    	4.717    	-26.242    
186.324    	4.666    	-25.166    
191.783    	4.599    	-24.190    
197.403    	4.536    	-22.850    
203.187    	4.473    	-21.936    
209.141    	4.414    	-20.602    
215.269    	4.371    	-19.449    
221.577    	4.322    	-18.264    
228.070    	4.285    	-16.965    
234.753    	4.253    	-15.833    
241.632    	4.224    	-14.684    
248.712    	4.199    	-13.433    
256.000    	4.181    	-12.257    
263.501    	4.168    	-11.115    
271.223    	4.158    	-10.048    
279.170    	4.146    	-9.011    
287.350    	4.134    	-7.895    
295.770    	4.122    	-6.839    
304.437    	4.117    	-5.654    
313.358    	4.123    	-4.417    
322.540    	4.145    	-3.047    
331.991    	4.199    	-1.973    
341.719    	4.268    	-1.607    
351.732    	4.252    	-1.867    
362.039    	4.204    	-1.104    
372.647    	4.194    	-0.104    
383.567    	4.193    	0.749    
394.806    	4.185    	1.656    
406.375    	4.185    	2.747    
418.282    	4.196    	3.749    
