Freq[Hz]     dBSPL  Phase[Deg]
5.00000     49.558    49.228
5.07273     49.589    49.241
5.14651     49.635    49.259
5.22137     49.696    49.285
5.29732     49.760    49.317
5.37437     49.825    49.354
5.45254     49.890    49.393
5.53185     49.955    49.433
5.61231     50.020    49.473
5.69394     50.085    49.514
5.77676     50.150    49.556
5.86079     50.215    49.599
5.94604     50.280    49.642
6.03252     50.345    49.686
6.12027     50.410    49.731
6.20929     50.475    49.776
6.29961     50.540    49.823
6.39124     50.604    49.869
6.48420     50.669    49.917
6.57851     50.734    49.966
6.67420     50.799    50.015
6.77128     50.864    50.065
6.86977     50.929    50.116
6.96969     50.994    50.167
7.07107     51.059    50.220
7.17392     51.124    50.273
7.27827     51.189    50.327
7.38413     51.254    50.382
7.49154     51.319    50.438
7.60050     51.384    50.494
7.71105     51.449    50.552
7.82321     51.514    50.610
7.93701     51.578    50.670
8.05245     51.643    50.730
8.16958     51.708    50.791
8.28841     51.773    50.853
8.40896     51.838    50.916
8.53128     51.903    50.980
8.65537     51.968    51.045
8.78126     52.033    51.111
8.90899     52.098    51.178
9.03857     52.163    51.247
9.17004     52.228    51.316
9.30342     52.293    51.386
9.43874     52.358    51.458
9.57603     52.423    51.530
9.71532     52.488    51.604
9.85663     52.552    51.679
10.0000     52.617    51.755
10.1455     52.682    51.832
10.2930     52.747    51.910
10.4427     52.812    51.990
10.5946     52.877    52.071
10.7487     52.942    52.153
10.9051     53.007    52.237
11.0637     53.072    52.322
11.2246     53.137    52.408
11.3879     53.202    52.495
11.5535     53.267    52.584
11.7216     53.332    52.675
11.8921     53.397    52.767
12.0650     53.462    52.860
12.2405     53.527    52.955
12.4186     53.591    53.051
12.5992     53.656    53.149
12.7825     53.721    53.249
12.9684     53.786    53.350
13.1570     53.851    53.453
13.3484     53.916    53.558
13.5426     53.981    53.664
13.7395     54.046    53.772
13.9394     54.111    53.882
14.1421     54.176    53.994
14.3478     54.241    54.107
14.5565     54.306    54.223
14.7683     54.371    54.340
14.9831     54.436    54.460
15.2010     54.501    54.581
15.4221     54.565    54.705
15.6464     54.630    54.830
15.8740     54.695    54.958
16.1049     54.760    55.088
16.3392     54.825    55.220
16.5768     54.890    55.355
16.8179     54.955    55.492
17.0626     55.020    55.632
17.3107     55.085    55.774
17.5625     55.150    55.918
17.8180     55.215    56.066
18.0771     55.280    56.216
18.3401     55.345    56.369
18.6068     55.410    56.524
18.8775     55.475    56.683
19.1521     55.540    56.845
19.4306     55.604    57.009
19.7133     55.669    57.178
20.0000     55.734    57.349
20.2909     55.799    57.524
20.5860     55.864    57.702
20.8855     55.929    57.884
21.1893     55.994    58.070
21.4975     56.059    58.260
21.8102     56.124    58.453
22.1274     56.189    58.651
22.4492     56.254    58.853
22.7758     56.319    59.060
23.1071     56.384    59.272
23.4432     56.449    59.488
23.7841     56.514    59.710
24.1301     56.578    59.936
24.4811     56.643    60.169
24.8372     56.708    60.407
25.1984     56.773    60.652
25.5649     56.838    60.902
25.9368     56.903    61.160
26.3141     56.968    61.425
26.6968     57.033    61.698
27.0851     57.098    61.978
27.4791     57.163    62.268
27.8788     57.228    62.567
28.2843     57.293    62.876
28.6957     57.358    63.196
29.1131     57.423    63.528
29.5365     57.488    63.873
29.9661     57.552    64.234
30.4020     57.617    64.611
30.8442     57.682    65.009
31.2929     57.747    65.430
31.7480     57.812    65.881
32.2098     57.877    66.373
32.6783     57.942    66.934
33.1536     58.009    67.575
33.6359     58.085    68.280
34.1251     58.215    68.956
34.6215     58.404    69.438
35.1250     58.589    69.683
35.6359     58.765    69.698
36.1543     58.871    69.528
36.6802     58.893    69.377
37.2137     58.864    69.434
37.7550     58.806    69.793
38.3041     58.729    70.544
38.8613     58.666    71.735
39.4265     58.641    73.343
40.0000     58.686    75.263
40.5818     58.831    77.316
41.1721     59.083    79.289
41.7710     59.418    80.996
42.3785     59.794    82.335
42.9949     60.183    83.280
43.6203     60.578    83.875
44.2548     60.987    84.146
44.8985     61.373    84.126
45.5515     61.739    83.866
46.2141     62.142    83.273
46.8863     62.520    82.321
47.5683     62.852    81.132
48.2602     63.119    79.768
48.9621     63.283    78.334
49.6743     63.385    77.011
50.3968     63.469    75.869
51.1299     63.550    74.907
51.8736     63.634    74.083
52.6281     63.728    73.341
53.3936     63.820    72.663
54.1702     63.900    72.076
54.9581     63.987    71.547
55.7575     64.099    70.994
56.5685     64.286    70.256
57.3914     64.532    69.152
58.2261     64.741    67.644
59.0730     64.881    65.802
59.9323     64.890    63.760
60.8040     64.781    61.750
61.6884     64.590    59.976
62.5857     64.337    58.557
63.4960     64.035    57.603
64.4196     63.688    57.203
65.3566     63.318    57.441
66.3073     62.976    58.302
67.2717     62.715    59.661
68.2502     62.562    61.317
69.2429     62.510    63.037
70.2501     62.501    64.674
71.2719     62.501    66.231
72.3086     62.505    67.783
73.3603     62.532    69.382
74.4274     62.608    70.996
75.5099     62.736    72.549
76.6083     62.914    73.957
77.7226     63.120    75.150
78.8531     63.333    76.117
80.0000     63.547    76.881
81.1636     63.761    77.472
82.3442     63.975    77.909
83.5419     64.189    78.198
84.7570     64.402    78.336
85.9899     64.613    78.313
87.2406     64.818    78.119
88.5096     65.016    77.735
89.7970     65.199    77.150
91.1031     65.354    76.381
92.4282     65.473    75.453
93.7726     65.534    74.429
95.1366     65.535    73.396
96.5204     65.486    72.422
97.9243     65.381    71.590
99.3486     65.228    70.996
100.794     65.042    70.686
102.260     64.844    70.641
103.747     64.662    70.803
105.256     64.510    71.080
106.787     64.364    71.384
108.340     64.162    71.751
109.916     63.896    72.294
111.515     63.559    73.155
113.137     63.179    74.500
114.783     62.792    76.422
116.452     62.402    78.985
118.146     62.015    82.305
119.865     61.637    86.548
121.608     61.329    91.845
123.377     61.212    98.030
125.171     61.369   104.550
126.992     61.788   110.722
128.839     62.378   116.045
130.713     63.023   120.412
132.615     63.677   123.987
134.543     64.332   126.968
136.500     64.986   129.494
138.486     65.641   131.645
140.500     66.296   133.469
142.544     66.950   134.995
144.617     67.605   136.246
146.721     68.260   137.234
148.855     68.914   137.969
151.020     69.569   138.452
153.217     70.223   138.682
155.445     70.878   138.652
157.706     71.533   138.348
160.000     72.187   137.746
162.327     72.842   136.804
164.688     73.497   135.437
167.084     74.147   133.585
169.514     74.781   131.203
171.980     75.321   128.375
174.481     75.700   125.333
177.019     75.929   122.287
179.594     76.001   119.462
182.206     75.975   117.109
184.856     75.928   115.337
187.545     75.881   114.118
190.273     75.864   113.387
193.041     75.904   112.982
195.849     75.997   112.741
198.697     76.129   112.555
201.587     76.282   112.358
204.520     76.434   112.134
207.494     76.578   111.915
210.512     76.718   111.757
213.574     76.858   111.702
216.681     77.003   111.774
219.833     77.176   111.939
223.030     77.407   112.084
226.274     77.697   112.072
229.565     78.023   111.802
232.905     78.335   111.254
236.292     78.599   110.497
239.729     78.808   109.652
243.216     78.977   108.833
246.754     79.131   108.111
250.343     79.289   107.490
253.984     79.458   106.930
257.678     79.638   106.375
261.426     79.827   105.782
265.229     80.017   105.120
269.087     80.187   104.406
273.001     80.330   103.692
276.972     80.452   103.021
281.000     80.543   102.461
285.088     80.631   102.062
289.234     80.725   101.813
293.441     80.839   101.679
297.709     80.984   101.603
302.040     81.154   101.517
306.433     81.338   101.382
310.890     81.523   101.184
315.412     81.704   100.937
320.000     81.883   100.660
324.655     82.060   100.369
329.377     82.237   100.075
334.168     82.414    99.780
339.028     82.591    99.491
343.959     82.768    99.219
348.962     82.945    98.973
354.038     83.126    98.755
359.188     83.322    98.543
364.412     83.545    98.288
369.713     83.783    97.959
375.090     84.023    97.542
380.546     84.262    97.021
386.081     84.503    96.376
391.697     84.750    95.597
397.394     84.990    94.695
403.175     85.207    93.693
409.039     85.377    92.654
414.989     85.511    91.664
421.025     85.623    90.792
427.149     85.735    90.058
433.362     85.866    89.427
439.665     86.022    88.832
446.060     86.199    88.208
452.548     86.388    87.500
459.131     86.574    86.691
465.809     86.743    85.810
472.584     86.890    84.900
479.458     87.020    83.998
486.432     87.140    83.132
493.507     87.260    82.315
500.686     87.382    81.548
507.968     87.500    80.826
515.357     87.623    80.129
522.853     87.761    79.424
530.458     87.917    78.672
538.174     88.078    77.851
546.002     88.226    76.958
553.943     88.367    75.986
562.001     88.494    74.952
570.175     88.603    73.916
578.469     88.689    72.926
586.883     88.746    72.021
595.419     88.795    71.232
604.080     88.857    70.559
612.866     88.944    69.958
621.780     89.066    69.339
630.824     89.194    68.652
640.000     89.317    67.915
649.309     89.428    67.143
658.753     89.526    66.354
668.335     89.638    65.543
678.056     89.769    64.674
687.919     89.910    63.714
697.925     90.039    62.644
708.077     90.142    61.482
718.376     90.219    60.275
728.825     90.280    59.053
739.426     90.329    57.825
750.181     90.367    56.591
761.093     90.389    55.353
772.163     90.382    54.139
783.394     90.334    53.013
794.789     90.251    52.045
806.349     90.134    51.311
818.078     90.006    50.875
829.977     89.893    50.744
842.050     89.795    50.913
854.298     89.735    51.349
866.724     89.736    51.935
879.330     89.801    52.550
892.120     89.932    53.077
905.097     90.109    53.410
918.262     90.301    53.501
931.618     90.495    53.350
945.169     90.689    52.987
958.917     90.877    52.435
972.864     91.042    51.747
987.015     91.182    50.976
1001.37     91.303    50.156
1015.94     91.400    49.333
1030.71     91.499    48.529
1045.71     91.586    47.746
1060.92     91.672    46.990
1076.35     91.756    46.243
1092.00     91.843    45.489
1107.89     91.942    44.704
1124.00     92.050    43.841
1140.35     92.149    42.902
1156.94     92.224    41.927
1173.77     92.272    40.958
1190.84     92.296    40.042
1208.16     92.326    39.191
1225.73     92.377    38.371
1243.56     92.429    37.561
1261.65     92.488    36.728
1280.00     92.543    35.829
1298.62     92.594    34.870
1317.51     92.644    33.861
1336.67     92.683    32.794
1356.11     92.700    31.688
1375.84     92.692    30.586
1395.85     92.658    29.540
1416.15     92.608    28.573
1436.75     92.557    27.673
1457.65     92.510    26.824
1478.85     92.462    26.025
1500.36     92.394    25.286
1522.19     92.305    24.630
1544.33     92.197    24.098
1566.79     92.093    23.720
1589.58     92.005    23.467
1612.70     91.936    23.285
1636.16     91.876    23.148
1659.95     91.809    23.077
1684.10     91.729    23.113
1708.60     91.635    23.307
1733.45     91.553    23.697
1758.66     91.509    24.264
1784.24     91.516    24.931
1810.19     91.567    25.613
1836.52     91.653    26.255
1863.24     91.780    26.783
1890.34     91.934    27.140
1917.83     92.133    27.271
1945.73     92.361    27.104
1974.03     92.570    26.654
2002.74     92.763    25.957
2031.87     92.930    25.023
2061.43     93.072    23.911
2091.41     93.190    22.672
2121.83     93.274    21.328
2152.69     93.314    19.927
2184.01     93.306    18.541
2215.77     93.244    17.277
2248.00     93.145    16.199
2280.70     93.038    15.314
2313.87     92.920    14.647
2347.53     92.808    14.233
2381.68     92.704    14.036
2416.32     92.609    14.009
2451.46     92.559    14.108
2487.12     92.576    14.216
2523.30     92.624    14.232
2560.00     92.689    14.096
2597.24     92.759    13.768
2635.01     92.817    13.273
2673.34     92.867    12.649
2712.23     92.900    11.908
2751.68     92.901    11.095
2791.70     92.864    10.289
2832.31     92.786     9.581
2873.50     92.681     9.026
2915.30     92.561     8.662
2957.70     92.441     8.525
3000.72     92.352     8.575
3044.37     92.276     8.764
3088.65     92.218     9.082
3133.58     92.183     9.495
3179.16     92.182     9.947
3225.40     92.236    10.345
3272.31     92.321    10.622
3319.91     92.426    10.749
3368.20     92.538    10.668
3417.19     92.646    10.375
3466.89     92.749     9.911
3517.32     92.837     9.304
3568.48     92.892     8.590
3620.39     92.908     7.834
3673.05     92.887     7.130
3726.47     92.840     6.553
3780.67     92.790     6.108
3835.67     92.740     5.781
3891.46     92.714     5.548
3948.06     92.709     5.344
4005.49     92.708     5.125
4063.75     92.708     4.882
4122.86     92.708     4.609
4182.82     92.708     4.308
4243.66     92.707     3.980
4305.39     92.698     3.640
4368.01     92.668     3.330
4431.55     92.619     3.099
4496.01     92.569     2.959
4561.40     92.524     2.911
4627.75     92.504     2.936
4695.06     92.501     2.991
4763.35     92.500     3.053
4832.64     92.503     3.118
4902.93     92.521     3.168
4974.24     92.562     3.162
5046.60     92.612     3.074
5120.00     92.661     2.902
5194.47     92.694     2.650
5270.03     92.704     2.371
5346.68     92.697     2.137
5424.45     92.668     2.021
5503.35     92.626     2.069
5583.40     92.609     2.261
5664.61     92.639     2.520
5747.01     92.704     2.782
5830.60     92.797     2.975
5915.41     92.931     2.963
6001.45     93.055     2.732
6088.74     93.180     2.356
6177.30     93.279     1.857
6267.15     93.323     1.315
6358.31     93.348     0.828
6450.80     93.387     0.402
6544.62     93.444     0.009
6639.82     93.515    -0.392
6736.40     93.595    -0.859
6834.38     93.666    -1.404
6933.79     93.743    -2.027
7034.64     93.824    -2.747
7136.96     93.884    -3.538
7240.77     93.932    -4.367
7346.09     93.954    -5.207
7452.94     93.958    -6.013
7561.35     93.962    -6.772
7671.33     93.978    -7.524
7782.91     94.016    -8.329
7896.12     94.052    -9.219
8010.97     94.065   -10.167
8127.49     94.048   -11.144
8245.71     94.001   -12.106
8365.65     93.933   -12.966
8487.33     93.863   -13.692
8610.78     93.788   -14.294
8736.03     93.722   -14.804
8863.09     93.701   -15.306
8992.01     93.698   -15.865
9122.80     93.702   -16.499
9255.50     93.677   -17.204
9390.12     93.628   -17.937
9526.70     93.562   -18.636
9665.27     93.492   -19.257
9805.86     93.434   -19.820
9948.49     93.377   -20.371
10093.2     93.326   -20.919
10240.0     93.282   -21.476
10388.9     93.228   -22.045
10540.1     93.152   -22.591
10693.4     93.066   -23.079
10848.9     92.990   -23.515
11006.7     92.914   -23.895
11166.8     92.844   -24.216
11329.2     92.790   -24.533
11494.0     92.737   -24.871
11661.2     92.693   -25.219
11830.8     92.646   -25.580
12002.9     92.594   -25.960
12177.5     92.536   -26.351
12354.6     92.478   -26.731
12534.3     92.424   -27.101
12716.6     92.367   -27.479
12901.6     92.302   -27.854
13089.2     92.231   -28.199
13279.6     92.155   -28.493
13472.8     92.069   -28.722
13668.8     91.988   -28.882
13867.6     91.927   -29.007
14069.3     91.887   -29.137
14273.9     91.854   -29.290
14481.5     91.808   -29.454
14692.2     91.758   -29.624
14905.9     91.708   -29.794
15122.7     91.675   -29.961
15342.7     91.653   -30.148
15565.8     91.616   -30.344
15792.2     91.566   -30.524
16021.9     91.516   -30.679
16255.0     91.477   -30.814
16491.4     91.460   -30.955
16731.3     91.453   -31.144
16974.7     91.427   -31.360
17221.6     91.379   -31.548
17472.1     91.329   -31.684
17726.2     91.280   -31.757
17984.0     91.255   -31.774
18245.6     91.251   -31.786
18511.0     91.250   -31.822
18780.2     91.250   -31.875
19053.4     91.250   -31.930
19330.5     91.252   -31.968
19611.7     91.263   -31.990
19897.0     91.296   -32.023
20186.4     91.348   -32.101
20480.0     91.404   -32.224
20777.9     91.474   -32.420
21080.1     91.546   -32.710
21386.7     91.623   -33.075
21697.8     91.718   -33.529
22013.4     91.791   -34.046
22333.6     91.856   -34.578
22658.4     91.920   -35.132
22988.0     92.006   -35.733
23322.4     92.138   -36.457
23661.6     92.281   -37.362
24005.8     92.412   -38.445
24355.0     92.521   -39.704
24709.2     92.597   -41.087
25068.6     92.659   -42.524
25433.2     92.730   -44.035
25803.2     92.796   -45.654
26178.5     92.848   -47.372
26559.3     92.892   -49.203
26945.6     92.912   -51.156
27337.5     92.912   -53.222
27735.2     92.893   -55.376
28138.6     92.845   -57.606
28547.9     92.762   -59.887
28963.1     92.630   -62.171
29384.4     92.471   -64.420
29811.8     92.275   -66.595
30245.4     92.048   -68.652
30685.3     91.799   -70.576
31131.7     91.528   -72.370
31584.5     91.261   -74.047
32043.9     90.990   -75.630
32510.0     90.703   -77.107
32982.8     90.405   -78.497
33462.6     90.089   -79.813
33949.3     89.756   -81.010
34443.1     89.435   -82.101
34944.1     89.099   -83.114
35452.4     88.727   -83.987
35968.0     88.343   -84.675
36491.2     87.937   -85.160
37022.0     87.522   -85.385
37560.5     87.122   -85.334
38106.8     86.736   -85.095
38661.1     86.371   -84.688
39223.4     86.094   -84.296
39793.9     85.905   -83.929
