Freq[Hz]     dBSPL  Phase[Deg]
5.00000     69.313    41.126
5.07273     69.340    41.121
5.14651     69.381    41.116
5.22137     69.435    41.110
5.29732     69.492    41.107
5.37437     69.549    41.105
5.45254     69.606    41.103
5.53185     69.663    41.102
5.61231     69.721    41.101
5.69394     69.778    41.100
5.77676     69.835    41.099
5.86079     69.893    41.098
5.94604     69.950    41.097
6.03252     70.007    41.096
6.12027     70.065    41.095
6.20929     70.122    41.094
6.29961     70.179    41.093
6.39124     70.237    41.093
6.48420     70.294    41.092
6.57851     70.351    41.091
6.67420     70.408    41.091
6.77128     70.466    41.090
6.86977     70.523    41.090
6.96969     70.580    41.089
7.07107     70.638    41.088
7.17392     70.695    41.088
7.27827     70.752    41.087
7.38413     70.810    41.087
7.49154     70.867    41.086
7.60050     70.924    41.086
7.71105     70.982    41.086
7.82321     71.039    41.085
7.93701     71.096    41.085
8.05245     71.153    41.085
8.16958     71.211    41.084
8.28841     71.268    41.084
8.40896     71.325    41.084
8.53128     71.383    41.083
8.65537     71.440    41.083
8.78126     71.497    41.083
8.90899     71.555    41.083
9.03857     71.612    41.082
9.17004     71.669    41.082
9.30342     71.726    41.082
9.43874     71.784    41.082
9.57603     71.841    41.081
9.71532     71.898    41.081
9.85663     71.956    41.081
10.0000     72.013    41.081
10.1455     72.070    41.081
10.2930     72.128    41.081
10.4427     72.185    41.081
10.5946     72.242    41.081
10.7487     72.300    41.080
10.9051     72.357    41.080
11.0637     72.414    41.080
11.2246     72.471    41.080
11.3879     72.529    41.080
11.5535     72.586    41.080
11.7216     72.643    41.080
11.8921     72.701    41.080
12.0650     72.758    41.080
12.2405     72.815    41.080
12.4186     72.873    41.080
12.5992     72.930    41.080
12.7825     72.987    41.080
12.9684     73.045    41.081
13.1570     73.102    41.081
13.3484     73.159    41.081
13.5426     73.216    41.081
13.7395     73.274    41.081
13.9394     73.331    41.081
14.1421     73.388    41.081
14.3478     73.446    41.082
14.5565     73.503    41.082
14.7683     73.560    41.082
14.9831     73.618    41.082
15.2010     73.675    41.082
15.4221     73.732    41.082
15.6464     73.790    41.081
15.8740     73.847    41.081
16.1049     73.904    41.081
16.3392     73.961    41.081
16.5768     74.019    41.080
16.8179     74.076    41.080
17.0626     74.133    41.080
17.3107     74.191    41.080
17.5625     74.248    41.080
17.8180     74.305    41.079
18.0771     74.363    41.079
18.3401     74.420    41.079
18.6068     74.477    41.079
18.8775     74.534    41.079
19.1521     74.592    41.078
19.4306     74.649    41.078
19.7133     74.706    41.078
20.0000     74.764    41.078
20.2909     74.821    41.078
20.5860     74.878    41.077
20.8855     74.936    41.077
21.1893     74.993    41.077
21.4975     75.050    41.077
21.8102     75.108    41.077
22.1274     75.165    41.077
22.4492     75.222    41.077
22.7758     75.279    41.077
23.1071     75.337    41.076
23.4432     75.394    41.076
23.7841     75.451    41.076
24.1301     75.509    41.076
24.4811     75.566    41.076
24.8372     75.623    41.076
25.1984     75.681    41.076
25.5649     75.738    41.076
25.9368     75.795    41.076
26.3141     75.853    41.076
26.6968     75.910    41.076
27.0851     75.967    41.075
27.4791     76.024    41.075
27.8788     76.082    41.075
28.2843     76.139    41.075
28.6957     76.196    41.075
29.1131     76.254    41.075
29.5365     76.311    41.075
29.9661     76.368    41.075
30.4020     76.426    41.075
30.8442     76.483    41.075
31.2929     76.540    41.075
31.7480     76.597    41.075
32.2098     76.655    41.075
32.6783     76.712    41.075
33.1536     76.769    41.075
33.6359     76.827    41.075
34.1251     76.884    41.075
34.6215     76.941    41.075
35.1250     76.999    41.075
35.6359     77.056    41.076
36.1543     77.113    41.076
36.6802     77.171    41.076
37.2137     77.228    41.076
37.7550     77.285    41.076
38.3041     77.342    41.076
38.8613     77.400    41.076
39.4265     77.457    41.076
40.0000     77.514    41.077
40.5818     77.572    41.077
41.1721     77.629    41.077
41.7710     77.686    41.077
42.3785     77.744    41.077
42.9949     77.801    41.078
43.6203     77.858    41.078
44.2548     77.916    41.078
44.8985     77.973    41.078
45.5515     78.030    41.079
46.2141     78.087    41.079
46.8863     78.145    41.079
47.5683     78.202    41.080
48.2602     78.259    41.080
48.9621     78.317    41.080
49.6743     78.374    41.081
50.3968     78.431    41.081
51.1299     78.489    41.081
51.8736     78.546    41.082
52.6281     78.603    41.082
53.3936     78.661    41.083
54.1702     78.718    41.083
54.9581     78.775    41.084
55.7575     78.832    41.085
56.5685     78.890    41.085
57.3914     78.947    41.086
58.2261     79.004    41.087
59.0730     79.062    41.087
59.9323     79.119    41.088
60.8040     79.176    41.089
61.6884     79.234    41.090
62.5857     79.291    41.090
63.4960     79.348    41.091
64.4196     79.405    41.092
65.3566     79.463    41.093
66.3073     79.520    41.094
67.2717     79.577    41.095
68.2502     79.635    41.096
69.2429     79.692    41.098
70.2501     79.749    41.099
71.2719     79.807    41.100
72.3086     79.864    41.101
73.3603     79.921    41.103
74.4274     79.979    41.104
75.5099     80.036    41.106
76.6083     80.093    41.107
77.7226     80.150    41.109
78.8531     80.208    41.110
80.0000     80.265    41.112
81.1636     80.322    41.114
82.3442     80.380    41.116
83.5419     80.437    41.118
84.7570     80.494    41.120
85.9899     80.552    41.122
87.2406     80.609    41.124
88.5096     80.666    41.127
89.7970     80.724    41.129
91.1031     80.781    41.132
92.4282     80.838    41.134
93.7726     80.895    41.137
95.1366     80.953    41.140
96.5204     81.010    41.143
97.9243     81.067    41.146
99.3486     81.125    41.149
100.794     81.182    41.152
102.260     81.239    41.155
103.747     81.297    41.159
105.256     81.354    41.163
106.787     81.411    41.166
108.340     81.469    41.170
109.916     81.526    41.174
111.515     81.583    41.178
113.137     81.640    41.181
114.783     81.698    41.185
116.452     81.755    41.189
118.146     81.812    41.193
119.865     81.870    41.197
121.608     81.927    41.201
123.377     81.984    41.205
125.171     82.042    41.208
126.992     82.099    41.212
128.839     82.156    41.214
130.713     82.213    41.216
132.615     82.271    41.218
134.543     82.328    41.218
136.500     82.385    41.216
138.486     82.443    41.213
140.500     82.500    41.207
142.544     82.557    41.198
144.617     82.615    41.183
146.721     82.672    41.160
148.855     82.729    41.123
151.020     82.786    41.067
153.217     82.842    40.987
155.445     82.891    40.888
157.706     82.926    40.795
160.000     82.948    40.737
162.327     82.956    40.747
164.688     82.958    40.855
167.084     82.961    41.074
169.514     82.979    41.382
171.980     83.015    41.741
174.481     83.067    42.126
177.019     83.135    42.510
179.594     83.199    42.893
182.206     83.271    43.283
184.856     83.359    43.661
187.545     83.470    43.994
190.273     83.590    44.264
193.041     83.724    44.434
195.849     83.858    44.477
198.697     83.981    44.422
201.587     84.095    44.306
204.520     84.187    44.151
207.494     84.264    43.999
210.512     84.331    43.878
213.574     84.403    43.791
216.681     84.472    43.735
219.833     84.543    43.706
223.030     84.607    43.702
226.274     84.680    43.707
229.565     84.772    43.668
232.905     84.874    43.557
236.292     84.959    43.418
239.729     85.010    43.308
243.216     85.025    43.275
246.754     85.064    43.322
250.343     85.158    43.361
253.984     85.249    43.367
257.678     85.324    43.373
261.426     85.374    43.360
265.229     85.374    43.458
269.087     85.395    43.769
273.001     85.479    44.157
276.972     85.584    44.522
281.000     85.730    44.815
285.088     85.893    44.951
289.234     86.037    44.935
293.441     86.166    44.820
297.709     86.288    44.644
302.040     86.401    44.440
306.433     86.499    44.239
310.890     86.586    44.065
315.412     86.678    43.914
320.000     86.770    43.783
324.655     86.869    43.672
329.377     86.975    43.552
334.168     87.086    43.397
339.028     87.204    43.197
343.959     87.322    42.951
348.962     87.435    42.666
354.038     87.541    42.337
359.188     87.646    41.963
364.412     87.758    41.535
369.713     87.866    41.050
375.090     87.951    40.530
380.546     88.015    40.003
386.081     88.065    39.495
391.697     88.104    39.047
397.394     88.140    38.676
403.175     88.174    38.360
409.039     88.214    38.078
414.989     88.268    37.798
421.025     88.320    37.513
427.149     88.362    37.226
433.362     88.398    36.933
439.665     88.407    36.683
446.060     88.406    36.553
452.548     88.399    36.561
459.131     88.384    36.737
465.809     88.376    37.127
472.584     88.414    37.681
479.458     88.489    38.317
486.432     88.634    38.915
493.507     88.835    39.333
500.686     89.064    39.498
507.968     89.300    39.382
515.357     89.506    39.017
522.853     89.694    38.482
530.458     89.852    37.836
538.174     89.985    37.159
546.002     90.102    36.478
553.943     90.215    35.781
562.001     90.324    35.067
570.175     90.448    34.325
578.469     90.539    33.574
586.883     90.586    32.904
595.419     90.644    32.299
604.080     90.731    31.679
612.866     90.837    31.037
621.780     90.978    30.287
630.824     91.084    29.365
640.000     91.157    28.333
649.309     91.195    27.290
658.753     91.202    26.312
668.335     91.185    25.444
678.056     91.155    24.704
687.919     91.134    24.108
697.925     91.129    23.614
708.077     91.136    23.179
718.376     91.159    22.750
728.825     91.196    22.282
739.426     91.246    21.742
750.181     91.304    21.090
761.093     91.333    20.361
772.163     91.332    19.625
783.394     91.298    18.945
794.789     91.230    18.407
806.349     91.164    18.068
818.078     91.111    17.905
829.977     91.094    17.854
842.050     91.104    17.851
854.298     91.148    17.833
866.724     91.199    17.761
879.330     91.252    17.641
892.120     91.316    17.473
905.097     91.387    17.254
918.262     91.486    16.943
931.618     91.593    16.497
945.169     91.713    15.890
958.917     91.821    15.107
972.864     91.899    14.197
987.015     91.949    13.215
1001.37     91.968    12.198
1015.94     91.971    11.181
1030.71     91.970    10.167
1045.71     91.957     9.149
1060.92     91.915     8.153
1076.35     91.836     7.231
1092.00     91.737     6.415
1107.89     91.613     5.758
1124.00     91.481     5.310
1140.35     91.362     5.051
1156.94     91.249     4.942
1173.77     91.158     4.973
1190.84     91.087     5.115
1208.16     91.033     5.333
1225.73     90.991     5.610
1243.56     90.985     5.902
1261.65     91.015     6.140
1280.00     91.075     6.266
1298.62     91.149     6.238
1317.51     91.206     6.078
1336.67     91.246     5.842
1356.11     91.266     5.578
1375.84     91.284     5.320
1395.85     91.315     5.056
1416.15     91.349     4.779
1436.75     91.383     4.481
1457.65     91.409     4.154
1478.85     91.435     3.799
1500.36     91.469     3.407
1522.19     91.503     2.976
1544.33     91.533     2.505
1566.79     91.547     1.999
1589.58     91.549     1.486
1612.70     91.549     0.978
1636.16     91.549     0.467
1659.95     91.548    -0.056
1684.10     91.543    -0.602
1708.60     91.523    -1.149
1733.45     91.487    -1.669
1758.66     91.438    -2.140
1784.24     91.374    -2.531
1810.19     91.323    -2.848
1836.52     91.273    -3.107
1863.24     91.224    -3.290
1890.34     91.171    -3.391
1917.83     91.108    -3.381
1945.73     91.070    -3.268
1974.03     91.068    -3.119
2002.74     91.109    -3.011
2031.87     91.198    -3.074
2061.43     91.298    -3.401
2091.41     91.398    -3.997
2121.83     91.460    -4.818
2152.69     91.460    -5.746
2184.01     91.394    -6.648
2215.77     91.279    -7.407
2248.00     91.139    -7.927
2280.70     91.002    -8.185
2313.87     90.883    -8.221
2347.53     90.793    -8.107
2381.68     90.738    -7.933
2416.32     90.712    -7.770
2451.46     90.702    -7.664
2487.12     90.684    -7.607
2523.30     90.651    -7.550
2560.00     90.617    -7.466
2597.24     90.584    -7.339
2635.01     90.567    -7.157
2673.34     90.564    -6.953
2712.23     90.567    -6.747
2751.68     90.584    -6.559
2791.70     90.617    -6.418
2832.31     90.652    -6.315
2873.50     90.687    -6.244
2915.30     90.719    -6.210
2957.70     90.753    -6.194
3000.72     90.788    -6.175
3044.37     90.824    -6.133
3088.65     90.861    -6.075
3133.58     90.903    -6.000
3179.16     90.966    -5.916
3225.40     91.061    -5.883
3272.31     91.167    -5.949
3319.91     91.290    -6.141
3368.20     91.417    -6.489
3417.19     91.536    -6.983
3466.89     91.647    -7.600
3517.32     91.745    -8.342
3568.48     91.830    -9.192
3620.39     91.906   -10.146
3673.05     91.962   -11.184
3726.47     91.970   -12.234
3780.67     91.942   -13.225
3835.67     91.877   -14.096
3891.46     91.786   -14.763
3948.06     91.712   -15.216
4005.49     91.664   -15.534
4063.75     91.647   -15.782
4122.86     91.660   -16.026
