* This data was exported from the Dayton Audio Test System: DATS
*
D    	34	[mm]
Re   	3.11	[Ohms]
Fs   	763.8	[Hz]
Zm   	7.944	[Ohms]
BL   	0	[N/A]
Qms  	3.709
Qes  	2.386
Qts  	1.452
Vas  	0 	[liters]
L10k 	0.006894	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	3.126    	0.707    
1.059    	3.126    	0.707    
1.091    	3.126    	0.707    
1.122    	3.126    	0.707    
1.155    	3.126    	0.707    
1.189    	3.126    	0.707    
1.224    	3.126    	0.707    
1.260    	3.126    	0.707    
1.297    	3.126    	0.707    
1.335    	3.119    	0.794    
1.374    	3.119    	0.794    
1.414    	3.119    	0.794    
1.456    	3.119    	0.794    
1.498    	3.119    	0.794    
1.542    	3.119    	0.794    
1.587    	3.119    	0.794    
1.634    	3.119    	0.794    
1.682    	3.115    	0.897    
1.731    	3.115    	0.897    
1.782    	3.115    	0.897    
1.834    	3.115    	0.897    
1.888    	3.115    	0.897    
1.943    	3.115    	0.897    
2.000    	3.117    	1.010    
2.059    	3.117    	1.010    
2.119    	3.117    	1.010    
2.181    	3.117    	1.010    
2.245    	3.117    	1.010    
2.311    	3.117    	1.010    
2.378    	3.120    	1.156    
2.448    	3.120    	1.156    
2.520    	3.120    	1.156    
2.594    	3.120    	1.156    
2.670    	3.122    	1.316    
2.748    	3.122    	1.316    
2.828    	3.122    	1.316    
2.911    	3.122    	1.316    
2.997    	3.121    	1.505    
3.084    	3.121    	1.505    
3.175    	3.121    	1.505    
3.268    	3.121    	1.505    
3.364    	3.126    	1.684    
3.462    	3.126    	1.684    
3.564    	3.126    	1.684    
3.668    	3.125    	1.879    
3.775    	3.125    	1.879    
3.886    	3.125    	1.879    
4.000    	3.133    	2.067    
4.117    	3.133    	2.067    
4.238    	3.133    	2.067    
4.362    	3.135    	2.227    
4.490    	3.135    	2.227    
4.621    	3.135    	2.227    
4.757    	3.143    	2.356    
4.896    	3.143    	2.356    
5.040    	3.150    	2.458    
5.187    	3.150    	2.458    
