* This data was exported from the Dayton Audio Test System: DATS
*
D    	180	[mm]
Re   	4.141	[Ohms]
Fs   	65.07	[Hz]
Zm   	16.95	[Ohms]
BL   	3.824	[N/A]
Qms  	6.918
Qes  	2.236
Qts  	1.69
Vas  	28.18 	[liters]
L10k 	0.1629	[mH]
n0   	0.3311	[%]
dBSPL  	87.3	[1W/1m]
Ms   	19.31	[grams]
Cms  	0.31	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	4.143    	0.061    
1.059    	4.143    	0.061    
1.091    	4.143    	0.061    
1.122    	4.143    	0.061    
1.155    	4.143    	0.061    
1.189    	4.143    	0.061    
1.224    	4.143    	0.061    
1.260    	4.143    	0.061    
1.297    	4.143    	0.061    
1.335    	4.136    	0.215    
1.374    	4.136    	0.215    
1.414    	4.136    	0.215    
1.456    	4.136    	0.215    
1.498    	4.136    	0.215    
1.542    	4.136    	0.215    
1.587    	4.136    	0.215    
1.634    	4.136    	0.215    
1.682    	4.132    	0.341    
1.731    	4.132    	0.341    
1.782    	4.132    	0.341    
1.834    	4.132    	0.341    
1.888    	4.132    	0.341    
1.943    	4.132    	0.341    
2.000    	4.134    	0.455    
2.059    	4.134    	0.455    
2.119    	4.134    	0.455    
2.181    	4.134    	0.455    
2.245    	4.134    	0.455    
2.311    	4.134    	0.455    
2.378    	4.136    	0.638    
2.448    	4.136    	0.638    
2.520    	4.136    	0.638    
2.594    	4.136    	0.638    
2.670    	4.138    	0.917    
2.748    	4.138    	0.917    
2.828    	4.138    	0.917    
2.911    	4.138    	0.917    
2.997    	4.137    	1.246    
3.084    	4.137    	1.246    
3.175    	4.137    	1.246    
3.268    	4.137    	1.246    
3.364    	4.141    	1.541    
3.462    	4.141    	1.541    
3.564    	4.141    	1.541    
3.668    	4.141    	1.785    
3.775    	4.141    	1.785    
3.886    	4.141    	1.785    
4.000    	4.148    	2.004    
4.117    	4.148    	2.004    
4.238    	4.148    	2.004    
4.362    	4.149    	2.240    
4.490    	4.149    	2.240    
4.621    	4.149    	2.240    
4.757    	4.154    	2.454    
4.896    	4.154    	2.454    
5.040    	4.160    	2.656    
5.187    	4.160    	2.656    
5.339    	4.164    	2.825    
5.496    	4.164    	2.825    
5.657    	4.167    	2.956    
5.823    	4.167    	2.956    
5.993    	4.167    	3.078    
6.169    	4.167    	3.078    
6.350    	4.167    	3.190    
6.536    	4.167    	3.190    
6.727    	4.167    	3.300    
6.924    	4.167    	3.300    
7.127    	4.168    	3.414    
7.336    	4.169    	3.542    
7.551    	4.169    	3.542    
7.772    	4.170    	3.696    
8.000    	4.172    	3.857    
8.234    	4.172    	3.857    
8.476    	4.173    	4.018    
8.724    	4.175    	4.189    
8.980    	4.176    	4.355    
9.243    	4.176    	4.355    
