* This data was exported from the Dayton Audio Test System: DATS
*
D    	67	[mm]
Re   	3.725	[Ohms]
Fs   	118.1	[Hz]
Zm   	23.03	[Ohms]
BL   	2.646	[N/A]
Qms  	6.672
Qes  	1.288
Qts  	1.079
Vas  	0.9721 	[liters]
L10k 	0.1177	[mH]
n0   	0.1187	[%]
dBSPL  	82.84	[1W/1m]
Ms   	3.26	[grams]
Cms  	0.557	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	3.731    	0.868    
1.059    	3.731    	0.868    
1.091    	3.731    	0.868    
1.122    	3.731    	0.868    
1.155    	3.731    	0.868    
1.189    	3.731    	0.868    
1.224    	3.731    	0.868    
1.260    	3.731    	0.868    
1.297    	3.731    	0.868    
1.335    	3.725    	0.848    
1.374    	3.725    	0.848    
1.414    	3.725    	0.848    
1.456    	3.725    	0.848    
1.498    	3.725    	0.848    
1.542    	3.725    	0.848    
1.587    	3.725    	0.848    
1.634    	3.725    	0.848    
1.682    	3.723    	0.825    
1.731    	3.723    	0.825    
1.782    	3.723    	0.825    
1.834    	3.723    	0.825    
1.888    	3.723    	0.825    
1.943    	3.723    	0.825    
2.000    	3.728    	0.815    
2.059    	3.728    	0.815    
2.119    	3.728    	0.815    
2.181    	3.728    	0.815    
2.245    	3.728    	0.815    
2.311    	3.728    	0.815    
2.378    	3.732    	0.843    
2.448    	3.732    	0.843    
2.520    	3.732    	0.843    
2.594    	3.732    	0.843    
2.670    	3.736    	0.927    
2.748    	3.736    	0.927    
2.828    	3.736    	0.927    
2.911    	3.736    	0.927    
2.997    	3.733    	1.062    
3.084    	3.733    	1.062    
3.175    	3.733    	1.062    
3.268    	3.733    	1.062    
3.364    	3.736    	1.231    
3.462    	3.736    	1.231    
3.564    	3.736    	1.231    
3.668    	3.732    	1.405    
3.775    	3.732    	1.405    
3.886    	3.732    	1.405    
4.000    	3.736    	1.591    
4.117    	3.736    	1.591    
4.238    	3.736    	1.591    
4.362    	3.732    	1.779    
4.490    	3.732    	1.779    
4.621    	3.732    	1.779    
4.757    	3.730    	1.949    
4.896    	3.730    	1.949    
5.040    	3.726    	2.085    
5.187    	3.726    	2.085    
5.339    	3.729    	2.186    
5.496    	3.729    	2.186    
5.657    	3.737    	2.289    
5.823    	3.737    	2.289    
5.993    	3.744    	2.416    
6.169    	3.744    	2.416    
6.350    	3.748    	2.563    
6.536    	3.748    	2.563    
6.727    	3.748    	2.718    
6.924    	3.748    	2.718    
7.127    	3.748    	2.870    
7.336    	3.749    	3.021    
7.551    	3.749    	3.021    
7.772    	3.750    	3.172    
8.000    	3.749    	3.312    
