* This data was exported from the Dayton Audio Test System: DATS
*
D    	29	[mm]
Re   	4.595	[Ohms]
Fs   	3035	[Hz]
Zm   	6.955	[Ohms]
BL   	0	[N/A]
Qms  	1.338
Qes  	2.605
Qts  	0.884
Vas  	0 	[liters]
L10k 	0.05424	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	4.570    	-0.133    
1.059    	4.570    	-0.133    
1.091    	4.570    	-0.133    
1.122    	4.570    	-0.133    
1.155    	4.570    	-0.133    
1.189    	4.570    	-0.133    
1.224    	4.570    	-0.133    
1.260    	4.570    	-0.133    
1.297    	4.570    	-0.133    
1.335    	4.563    	-0.175    
1.374    	4.563    	-0.175    
1.414    	4.563    	-0.175    
1.456    	4.563    	-0.175    
1.498    	4.563    	-0.175    
1.542    	4.563    	-0.175    
1.587    	4.563    	-0.175    
1.634    	4.563    	-0.175    
1.682    	4.560    	-0.146    
1.731    	4.560    	-0.146    
1.782    	4.560    	-0.146    
1.834    	4.560    	-0.146    
1.888    	4.560    	-0.146    
1.943    	4.560    	-0.146    
2.000    	4.561    	-0.119    
2.059    	4.561    	-0.119    
2.119    	4.561    	-0.119    
2.181    	4.561    	-0.119    
2.245    	4.561    	-0.119    
2.311    	4.561    	-0.119    
2.378    	4.564    	-0.173    
2.448    	4.564    	-0.173    
2.520    	4.564    	-0.173    
2.594    	4.564    	-0.173    
2.670    	4.565    	-0.184    
2.748    	4.565    	-0.184    
2.828    	4.565    	-0.184    
2.911    	4.565    	-0.184    
2.997    	4.564    	-0.163    
3.084    	4.564    	-0.163    
3.175    	4.564    	-0.163    
3.268    	4.564    	-0.163    
3.364    	4.568    	-0.056    
3.462    	4.568    	-0.056    
3.564    	4.568    	-0.056    
3.668    	4.569    	0.054    
3.775    	4.569    	0.054    
3.886    	4.569    	0.054    
4.000    	4.575    	0.135    
4.117    	4.575    	0.135    
4.238    	4.575    	0.135    
4.362    	4.577    	0.205    
4.490    	4.577    	0.205    
4.621    	4.577    	0.205    
4.757    	4.580    	0.226    
4.896    	4.580    	0.226    
5.040    	4.586    	0.243    
5.187    	4.586    	0.243    
5.339    	4.591    	0.269    
5.496    	4.591    	0.269    
5.657    	4.595    	0.284    
5.823    	4.595    	0.284    
5.993    	4.595    	0.297    
6.169    	4.595    	0.297    
6.350    	4.594    	0.302    
6.536    	4.594    	0.302    
6.727    	4.593    	0.298    
6.924    	4.593    	0.298    
7.127    	4.592    	0.293    
7.336    	4.591    	0.291    
7.551    	4.591    	0.291    
7.772    	4.591    	0.296    
8.000    	4.592    	0.295    
8.234    	4.592    	0.295    
8.476    	4.592    	0.284    
8.724    	4.592    	0.279    
8.980    	4.592    	0.275    
9.243    	4.592    	0.275    
9.514    	4.592    	0.265    
9.792    	4.592    	0.253    
10.079    	4.592    	0.239    
10.375    	4.592    	0.224    
10.679    	4.592    	0.212    
10.992    	4.592    	0.208    
11.314    	4.592    	0.208    
11.645    	4.593    	0.206    
11.986    	4.593    	0.198    
12.338    	4.594    	0.189    
12.699    	4.594    	0.182    
13.071    	4.595    	0.178    
13.454    	4.595    	0.178    
13.849    	4.595    	0.184    
14.254    	4.595    	0.191    
14.672    	4.596    	0.199    
15.102    	4.597    	0.199    
15.545    	4.597    	0.198    
16.000    	4.598    	0.199    
16.469    	4.598    	0.207    
16.951    	4.599    	0.220    
17.448    	4.599    	0.228    
17.959    	4.600    	0.242    
18.486    	4.600    	0.266    
19.027    	4.601    	0.287    
19.585    	4.601    	0.307    
20.159    	4.600    	0.313    
20.749    	4.599    	0.321    
21.357    	4.598    	0.334    
21.983    	4.598    	0.350    
22.627    	4.597    	0.361    
23.290    	4.596    	0.367    
23.973    	4.595    	0.366    
24.675    	4.594    	0.351    
25.398    	4.594    	0.330    
26.143    	4.594    	0.309    
26.909    	4.595    	0.294    
27.697    	4.596    	0.293    
28.509    	4.598    	0.299    
29.344    	4.599    	0.308    
30.204    	4.601    	0.323    
31.089    	4.602    	0.346    
32.000    	4.602    	0.389    
32.938    	4.601    	0.441    
33.903    	4.601    	0.473    
34.896    	4.600    	0.477    
35.919    	4.599    	0.467    
36.971    	4.598    	0.469    
38.055    	4.598    	0.475    
39.170    	4.598    	0.465    
40.317    	4.597    	0.442    
41.499    	4.597    	0.426    
42.715    	4.599    	0.422    
43.967    	4.602    	0.444    
45.255    	4.605    	0.511    
46.581    	4.605    	0.570    
47.946    	4.602    	0.577    
49.351    	4.601    	0.658    
50.797    	4.600    	0.701    
52.285    	4.597    	0.656    
53.817    	4.598    	0.595    
55.394    	4.601    	0.537    
57.018    	4.606    	0.565    
58.688    	4.609    	0.666    
60.408    	4.607    	0.698    
62.178    	4.604    	0.728    
64.000    	4.600    	0.746    
65.875    	4.599    	0.752    
67.806    	4.599    	0.724    
69.792    	4.601    	0.735    
71.838    	4.607    	0.747    
73.943    	4.606    	0.826    
76.109    	4.606    	0.878    
78.339    	4.602    	0.902    
80.635    	4.599    	0.879    
82.998    	4.603    	0.854    
85.430    	4.608    	0.882    
87.933    	4.611    	0.959    
90.510    	4.609    	0.999    
93.162    	4.605    	1.014    
95.892    	4.603    	0.994    
98.701    	4.606    	0.916    
101.594    	4.610    	1.026    
104.571    	4.606    	1.165    
107.635    	4.603    	1.169    
110.789    	4.607    	1.131    
114.035    	4.611    	1.163    
117.377    	4.612    	1.244    
120.816    	4.607    	1.286    
124.356    	4.607    	1.259    
128.000    	4.612    	1.286    
131.751    	4.612    	1.399    
135.611    	4.609    	1.417    
139.585    	4.612    	1.402    
143.675    	4.615    	1.472    
147.885    	4.613    	1.558    
152.219    	4.613    	1.547    
156.679    	4.619    	1.596    
161.270    	4.614    	1.687    
165.995    	4.612    	1.668    
170.860    	4.618    	1.738    
175.866    	4.614    	1.810    
181.019    	4.617    	1.791    
186.324    	4.619    	1.895    
191.783    	4.616    	1.930    
197.403    	4.620    	1.984    
203.187    	4.618    	2.073    
209.141    	4.621    	2.041    
215.269    	4.624    	2.156    
221.577    	4.624    	2.165    
228.070    	4.626    	2.263    
234.753    	4.623    	2.292    
241.632    	4.627    	2.363    
248.712    	4.627    	2.397    
256.000    	4.629    	2.498    
263.501    	4.630    	2.550    
271.223    	4.631    	2.634    
279.170    	4.632    	2.674    
287.350    	4.632    	2.785    
295.770    	4.633    	2.828    
304.437    	4.635    	2.905    
313.358    	4.635    	2.987    
322.540    	4.636    	3.049    
331.991    	4.638    	3.136    
341.719    	4.640    	3.240    
351.732    	4.642    	3.333    
362.039    	4.644    	3.403    
372.647    	4.646    	3.481    
383.567    	4.646    	3.601    
394.806    	4.648    	3.703    
406.375    	4.651    	3.800    
418.282    	4.653    	3.881    
430.539    	4.655    	3.973    
443.155    	4.656    	4.091    
456.140    	4.660    	4.196    
469.506    	4.659    	4.311    
483.264    	4.660    	4.421    
497.424    	4.664    	4.529    
512.000    	4.666    	4.628    
527.003    	4.669    	4.777    
542.445    	4.671    	4.893    
558.340    	4.674    	5.040    
574.701    	4.677    	5.175    
591.541    	4.680    	5.316    
608.874    	4.682    	5.457    
626.715    	4.687    	5.610    
